‾	vinkulum, ɛsontwamu, ɛsosensaneɛ
_	aseɛdaahye, aseɛsensaneɛ, daahye, fam, fam sensaneɛ, sensaneɛ
-	daahye, haefene, haefene-te firi mu, te firi mu
‐	daahye, haefene
–	daahye, en, en daahye
—	daahye, em, em daahye
―	abaa, daahye, sensaneɛ, tɛtrɛtɛ, tɛtrɛtɛ abaa
・	dɔɔto, katakana, katakana mfinimfini dɔɔto, mfinimfini, mfinimfinidɔɔto, pɔnkyentam
,	nsanhͻ
،	arabeke, arabeke nsanhͻ, nsanhͻ
、	ideografike, ideografike nsanhɔ, nsanhɔ
;	osi-san, osisan
؛	arabeke, arabeke osisan, osi-san, osisan
:	osiprenu
!	agyinahyɛdeɛ, bang, nteamu, nteamudeɛ, osiwieeɛ
¡	agyinahyɛdeɛ, bang, butu, nteamu, nteamudeɛ a abutu, osiwieeɛ
?	asɛmmisa, asɛmmisa nsɛnkyerɛne, nsɛnkyerɛne
¿	asɛmmisa, asɛmmisa nsɛnkyerɛne a abutu, butu, nsɛnkyerɛne
؟	arabeke, arabeke asɛmmisa nsɛnkyerɛne, asɛmmisa, nsɛnkyerɛne
‽	intɛrabange, intɛrobange
.	dɔɔto, gyae, mua, piireɔdo
…	dɔɔto, nnyamu, ɔyera
。	gyae, ideografike, ideografike piireɔdo, mua, piireɔdo
·	dɔɔto, mfinimfini, mfinimfini dɔɔto, mfinimfinidɔɔto, punkyentam
'	korɔ, ogya nsɛnkyerɛne, ogya nsɛnkyerɛne a ɛwɔ tintim fidie so, quote, tintim fidie
‘	benkum, deɛ waben, korɔ, ogya nsɛnkyerɛne, ogya nsɛnkyerɛne a ɛda benkum, quote
’	deɛ waben, korɔ, nifa, ogya nsɛnkyerɛne, ogya nsɛnkyerɛne a ɛda nifa, quote
‚	aseɛ, aseɛ nifa ogya nsɛnkyerɛne, nifa, ogya nsɛnkyerɛne, quote
“	benkum, deɛ waben, mmienu, nkatomdeɛ, nkatomdeɛ a ɛda benkum, nsɛnkyerɛne, quote
”	deɛ waben, mmienu, nifa, nifa nkatomdeɛ, nkatomdeɛ, nsɛnkyerɛne, quote
„	aseɛ, aseɛ nifa nkatomdeɛ, deɛ waben, mmienu, nifa, nkatomdeɛ, nsɛnkyerɛne, quote
«	anikyerɛ, benkum, benkum gɔelimɛte, gɔelimɛte, hyevron, karɛtese, kooto, nkatomdeɛ
