‾	መስመር ላይ
_	ዝቅተኛ መስመር
-	ሃይፈን, ሃይፈን-ማይነስ, ማይነስ, ዳሽ
‐	ቃል አቆራኝ
–	ሰረዝ, ኢኤን, ኢኤን ሰረዝ
—	ሰረዝ, ኢኤም, ኢኤም ሰረዝ
―	አግዳሚ ሠረዝ
・	ሚዶት, ነጥቦች, ኢንተርፓንት, ካታካና, ካታካና መካከለኛው ነጥብ
,	ነጠላ ሰረዝ
،	የአረብኛ ነጠላ ሰረዝ
、	ምስላዊ ምልክት ነጠላ ሰረዝ
;	ድርብ ዘረዝ
؛	የአረብኛ ድርብ ሰረዝ
:	ሁለት ነጥብ
!	ቃል አጋኖ ምልክት
¡	የተገለበጠ ቃል አጋኖ ምልክት
?	ጥያቄ ምልክት
¿	የተገለበጠ ጥያቄ ምልክት
؟	የአረብኛ ጥያቄ ምልክት
‽	ኢንተርሮባንግ
.	ነጥብ
…	ሞላላ
。	አራት ነጥብ, አይድዮግራፊክ, አይድዮግራፊክ ፔሪየድ, ፔሪየድ
·	ማእከላዊ, ማእከላዊ ነጥበ, ማእከላዊነጥብ, ማዕከላዊምልክት, ነጥብ
'	ታይፕራይተር አፖስትሮፍ, ነጠላ ኮት, አፖስትሮፍ, ኮት
‘	ሲንግ ኮት, ስማርት ኮት, አፖስትሮፍ, ኮት, የግራ አፖስትሮፍ
’	ሲንግ ኮት, ስማርት ኮት, ቀኝ አፖስትሮፍ, አፖስትሮፍ, ኮት
‚	አፖስትሮፍ, ኮት, የቀኝ ታዝኛው አፖስትሮፍ, የታዝኛው ኮት
“	ስማርት ኮቴሽን, ኮቴሽን, ኮት, የግራ ኮቴሽን ማርክ, ዳብል ኮት
”	ስማርት ኮቴሽን, ኮቴሽን, ኮት, የቀኝ ኮቴሽን ማርክ, ደብል ኮት
„	ስማርት ኮቴሽን, ኮቴሽን, ኮት, የቀኝ ታዝኛው ኮቴሽን ማርክ, የታዝኛው ኮቴሽን, ደብልኮት
«	ምእዘን, ቅንፎች, ትእምርተ ቅጥያ, ድፋቶች, ግራ, ግራ ጥቅስ ምልክት, ጥቅስ
»	ምእዘን, ቀኝ, ቀኝ ጥቅስ ምልክት, ቅንፎች, ትእምርተ ቅጥያ, ድፋቶች, ጥቅስ
)	ራውንድ ቅንፍ, ቅንፍ, ክሎዝ ፓረንተንሲስ, ወላጆች, ፓረን, ፓረንተንሲስ
[	ስኩየር ብራኬየት, ብራኬት, ክሮትቸት, ክፍት ስኩየር ቅንፍ
]	ስኩየር ብራኬየት, ብራኬት, ክሎዝ ስኩየር ቅንፍ, ክሮትቸት
{	ቅንፍ, ብሬስ, ከርሊ ቅንፍ, ኩርሊ ብሬስ, ክፍት ኩርሊ ቅንፍ, ጉሊንግ
}	ቅንፍ, ብሬስ, ከርሊ ቅንፍ, ከርሊ ብሬስ, ዝግ ከርሊ ቅንፍ, ጓልዊንግ
〈	ሹልታፕል, ቅንፍ, ታፕል, ቼቨሮን, አንግል ቅንፍ, ክፍት አንግል ብራኬት, ዲያመንድ ቅንፈ, ፎች
〉	ሹል ቅንፍ, ቅንፍ, ታፕል, ቼቨሮን, አንግልቅንፍ, ዝግ አንግል ቅንፍ, ዲያመንገ, ድ ቅንፎች
《	ቅንፍ, ክፍት ደብል አንግል ቅንፍ, ደብል አንግል ቅንፍ
》	ቅንፍ, ዝግ ዳብል አንግል ቅንፍ, ደብል አንግል ቅንፍ
「	ቅንፍ, ክፍት ኮርነር ብራኬት, ኮርነር ቅንፍ
」	ቅንፍ, ኮርነር ቅንፍ, ዝግ ከኮርነር ቅንፍ
『	ሆለው ክፍት ቅንፍ, ቅንፍ, ክፍት ሆለው ኮርነር ቅንፍ
』	ሆለው ኮርነር ቅንፍ, ቅንፍ, ዝግ ሆለው ኮርነር ቅንፍ
【	ለንቲኩላር ቅንፍ, ሌንስ ቅንፍ, ቅንፍ, ክፍት ጥቁር ሌንስ ቅንፍ
】	ሌንስ ቅንፍ, ሌንቲኩላር ቅንፍ, ቅንፍ, ዝግ ጥቁር ሌንስ ቅንፍ
〔	ሼል ብራኬት, ቅንፍ, ቶርቶይዝ ሼል ቅንፍ, ክፈት ተርተይዝ ሸል ቅንፍ
〕	ሼል ቅንፍ, ቅንፍ, ቶርቶይዝ ሼል ቅንፍ, ክሎዝ ቶርቶይዝ ሼል ብራኬት
〖	ሆለው ሌንስ ቅንፍ, ሆለው ሌንቲኩለር ቅንፍ, ቅንፍ, ክፍት ሆለው ሌንስ ቅንፍ
〗	ሆለው ሌንስ ቅንፍ, ሆለው ሌንቲኩለር ቅንፍ, ቅንፍ, ዝግ ሆለው ሌንስ ቅንፍ
§	ሲልክሮውን, አንቀጽ, ክፍል, ጉርድ
¶	አንቀፅ ምልክት
@	የ@ ምልክት
*️	ኮከቢት
/	እዝባር
\	የኋሊት እዝባር
&	እና
#️	የሃሽ ምልክት
%	ፐርሰንት
‰	በማይል
†	ሓወልት, መስቀለኛ, መስቀል, የመስቀል ምልክት
‡	ሓወልት, መስቀለኛ, መስቀል, ድርብ, ድርብ መስቀል ምልክት
•	ነጥበ, ነጥበ ምልክት
‧	ሃይፈን, ሃይፍኔሽን ነጥብ, ነጥብ, ዳሽ
′	ብቸኜ
″	ሁለቴ ብቸኜ
‴	ሶስቴ ብቸኜ
‸	የሚመከር ነገር የሚጠቁም
※	ማጣቀሻ ምልክት
⁂	የከዋክብት አቀማመጥ
`	ቶን, ዘዬ, ግሬቭ, ግሬቭ ዘዬ
´	ቶን, አክሰንት, አክዩት, አክዩት ዘዬ
^	ሃት, መቆጣጠር, ቼቨሮን, አነጋገር, ኤክሶርሳይን, ካሬት, ወጅ, ዘዬ, የአነጋገር ዘዬ, ፓወር, ፖይንተር
¨	ትሪማ, አምላት, ዲያረሲስ
°	ማስረጃ, ሰዓት, ዲግሪ
℗	ቀረጻ, ቅጂ መብት, የድምጽ ቀረጻ ቅጂ መብት, ድምጽ
←	ቀስት, ወደ ግራ የሚያመለክት ቀስት, ግራ
↚	ወደ ግራ የቀስት ሰረዝ
→	ቀስት, ቀኝ, ወደ ቀኝ የሚያመለክት ቀስት
↛	ወደ ቀኝ የቀስት ሰረዝ
↑	ላይ, ቀስት, ወደ ላይ የሚያመለክት ቀስት
↓	ቀስት, ታች, ወደ ታች የሚያመለክት ቀስት
↜	ወደ ግራ ማውለብለብ ቀስት
↝	ወደ ቀኝ ማውለብለብ ቀስት
↞	ወደ ግራ ባለ-ሁለት ራስ ቀስት
↟	ወደ ላይ ባለ-ሁለት ራስ ቀስት
↠	ወደ ቀኝ ባለ-ሁለት ራስ ቀስት
↡	ወደ ታች ባለ-ሁለት ራስ ቀስት
↢	ወደ ግራ የቀስት ጅራት
↣	ወደ ቀኝ የቀስት ጅራት
↤	ከዘንግ ወደ ግራ ቀስት
↥	ከዘንግ ወደ ላይ ቀስት
↦	ከዘንግ ወደ ቀኝ ቀስት
↧	ከዘንግ ወደ ታች ቀስ
↨	ከመሰረት ጋር ወደ ላይ ታች ቀስት
↫	ወደ ግራ የቀስት ጥምልምል
↬	ወደ ቀኝ የቀስት ጥምልምል
↭	ግራ ቀኝ ሞገድ ቀስት
↯	ወደ ታች ዚግዛግ ቀስት
↰	ወደ ላይ ጫፍ ወደ ግራ ቀስት
↱	ወደ ላይ ጫፍ ወደ ቀኝ ቀስት
↲	ወደ ታች ጫፍ ወደ ግራ ቀስት
↳	ወደ ታች ጫፍ ወደ ቀኝ ቀስት
↴	ወደ ቀኝ የቀስት ጥግ ወደ ታች
↵	ወደታች የቀስት ጥግ ወደ ግራ
↶	ወደ ግራ የሚዞር የላይኛው ግማሽ ክብ ቀስት
↷	በሰዓት አቅጣጫ የሚዞር ከላይ ግማሽ ክብ ቀስት
↸	የሰሜን ምዕራብ ቀስት ከላዩ ረጅም ዘንግ
↹	ወደ ቀኝ የቀስት ዘንግ ላይ የግራ ቀስት ዘንግ
↺	ወደግራ የሚዞር ክፍት ክብ ቀስት
↻	በሰዓት አቅጣጫ የሚዞር ክፍት ክብ ቀስት
↼	ወደ ግራ ሃርፖን ባርበን ወደ ላይ
↽	ወደ ግራ የሃርበን ባርብ ወደ ታች
↾	ወደ ላይ የሃርበን ባርብ ወደ ቀኝ
↿	ወደ ላይ የሃርፖን ባርብ ወደ ቀኝ
⇀	ወደ ቀኝ የሃርፖን ባርብ ወደ ላይ
⇁	ወደ ቀኝ የሃርፖን ባርብ ወደ ታች
⇂	ወደ ታች የሃርፖን ባርብ ወደ ቀኝ
⇃	ወደ ታች የሃርፖን ባርብ ወደ ግራ
⇄	ወደ ግራ ቀስት በላይ የቀኝ ቀስት
⇅	ቀስት, ወደ ላይ, ወደ ላይ የሚያመለክት ቀስት እና ወደ ታች የሚያመለክቱ ቀስቶች, ወደ ላይ የሚያመለክት ቀስት እና ወደ ታች የሚያመለክት ቀስት, ወደ ታች
⇆	ቀስት, ቀኝ, ወደ ግራ የሚያመለክት ቀስት በወደ ቀኝ የሚያመለክት ቀስት ላይ, ግራ
⇇	ወደ ግራ ጥንድ ቀስቶች
⇈	ወደ ላይ ጥንድ ቀስቶች
⇉	ወደ ቀኝ ጥንድ ቀስቶች
⇊	ወደ ታች ጥንድ ቀስቶች
⇋	ወደ ቀኝ ሃርፖን በላይ ወደ ግራ ሃርፖን
⇌	ወደ ግራ ሃርፖን በላይ ወደ ቀኝ ሃርፖን
⇐	ወደ ግራ ድርብ ቀስት
⇍	ሰረዝ ያለበት ወደ ግራ ድርብ ቀስት
⇑	ወደ ላይ ድርብ ቀስት
⇒	ወደ ቀኝ ድርብ ቀስት
⇏	ሰረዝ ያለበት ወደ ቀኝ ድርብ ቀስት
⇓	ወደ ታች ድርብ ቀስት
⇔	ግራ ቀኝ ድርብ ቀስት
⇎	ሰረዝ ያለበት ግራ ቀኝ ድርብ ቀስት
⇖	ሰሜን ምዕራብ ድርብ ቀስት
⇗	ሰሜን ምስራቅ ድርብ ቀስት
⇘	ደቡብ ምስራቅ ድርብ ቀስት
⇙	ደቡብ ምዕራብ ድርብ ቀስት
⇚	ወደ ግራ ባለሶስት ቀስት
⇛	ወደ ቀኝ ባለሶስት ቀስት
⇜	ወደ ግራ የተወዛወዘ ቀስት
⇝	ወደ ቀኝ የተወዛወዘ ቀስት
⇞	ድርብ ሰረዝ ያለበት ወደ ላይ ቀስት
⇟	ድርብ ሰረዝ ያለበት ወደ ታች ቀስት
⇠	ወደ ግራ ሰረዝ ቀስት
