😀	girang, muka, muka girang, nyengir, seneng
😃	lèbar, muka, muka nyengir lèbar, nyengir, seneng, sumringah
😄	girang, ketawa, mata ketutup, muka, muka girang mata ketutup, seneng
😁	gigi, ketawa, mata seneng, muka, muka nyengir, nyengir
😆	ketawa, muka, muka ketawa merem, ngakak, nglèdèk, seneng
😅	girang, keringetan, ketawa, muka, muka girang keringetan, seneng, senyum lèbar
🤣	bodor, guling-guling, ketawa, ketawa ampé nangis, kocak, lucu, muka, ngakak
😂	aèr mata, girang, ketawa, muka, muka nangis seneng, nangis seneng, seneng, senyum lèbar
🙂	muka, muka mèsem biasa, mèsem, senyum, senyum biasa
🙃	kebalik, muka, muka kebalik, senyum
🫠	caèran, ilang, larut, melèlèh, muka, muka melèlèh, senyum
😉	genit, kedip, muka, muka ngedip, ngedip, ngegoda
😊	bebunga-bunga, girang, kesenengan, malu, muka, muka nahan malu girang, mèrah, nahan malu, seneng
😇	baèk, baè’, baè’ ati, iklas, lugu, malaikat, malaèkat, muka, muka malaèkat, mèsem, polos, senyum
🥰	ati, cinta, demen, kedemean, muka senyum cinta, muka senyum kedemenan, seneng, senyum
😍	ati, cinta, mata, muka cinta, muka cinta mata ati, senyum
🤩	bintang, girang, mata, muka seneng, muka seneng mata bintang, mèsem, seneng, senyum
😘	cium, demen, kecup, muka niupin sun, mulut niup, seneng, suka, sun
😗	cium, monyong, muka ngesun, mulut, ngesun, nyium, nyosor, sun
☺️	baèk, baè’, iklas, muka, muka mèsem seneng, mèsem, seneng, senyum
😚	cinta, cium, demen, monyong, muka, muka ngesun merem pipi mèra, ngesun, nyium, nyosor, pipi mèra, seneng, suka, sun
😙	cinta, cium, demen, monyong, muka, muka ngesun merem, ngesun, nyium, nyosor, seneng, suka, sun
🥲	aèr mata, bangga, besukur, haru, kesentu, lega, muka haru, muka seneng, muka senyum, mèsem, plong, senyum, sukur
😋	gurih, lejat, muka, muka lejat, nyicipin makanan, ènak
😛	lida, lidah, muka, muka mèlèd, mèlèd, nglèdèk
😜	kedip, lida, lidah, muka, muka mèlèd ngedip, mèlèd, ngedip, nglèdèk
🤪	bègo, konyol, muka, muka pè’a, mèlèd, nglèdèk, pè’a, sarap, songong, sèdèng
😝	jiji’, ketawa, merem, muka, muka mèlèd merem, mèlèd, songong
🤑	duit, mata duitan, muka, muka napsu duit, napsu
🇦🇨	bendèra, bendèra: Pulo Kenaèkan
🇦🇩	bendèra, bendèra: Andora
🇦🇪	bendèra, bendèra: Imarat Arab Rempug
🇦🇫	bendèra, bendèra: Apganistan
🇦🇬	bendèra, bendèra: Antigua èn Barbuda
🇦🇮	bendèra, bendèra: Angguila
🇦🇱	bendèra, bendèra: Albani
🇦🇲	bendèra, bendèra: Lemènder
🇦🇴	bendèra, bendèra: Anggola
🇦🇶	bendèra, bendèra: Kutub Kidul
🇦🇷	bendèra, bendèra: Argèntina
🇦🇸	bendèra, bendèra: Samoa Amrik
🇦🇹	bendèra, bendèra: Ostenrèk
🇦🇺	bendèra, bendèra: Ostrali
🇦🇼	bendèra, bendèra: Aruba
🇦🇽	bendèra, bendèra: Pulo Olan
🇦🇿	bendèra, bendèra: Asèrbaijan
🇧🇦	bendèra, bendèra: Bosni èn Hèrségowina
🇧🇧	bendèra, bendèra: Barbados
🇧🇩	bendèra, bendèra: Benggaladésa
🇧🇪	bendèra, bendèra: Bèlgi
🇧🇫	bendèra, bendèra: Burkina Paso
🇧🇬	bendèra, bendèra: Bulgari
🇧🇭	bendèra, bendèra: Bahrén
🇧🇮	bendèra, bendèra: Burundi
🇧🇯	bendèra, bendèra: Bénin
🇧🇱	bendèra, bendèra: Sint-Bartoloméus
🇧🇲	bendèra, bendèra: Bermuda
🇧🇳	bendèra, bendèra: Bruné
🇧🇴	bendèra, bendèra: Boliwi
🇧🇶	bendèra, bendèra: Welanda Karaiben
🇧🇷	bendèra, bendèra: Brasil
🇧🇸	bendèra, bendèra: Bahama
🇧🇹	bendèra, bendèra: Butan
🇧🇻	bendèra, bendèra: Pulo Buwèt
🇧🇼	bendèra, bendèra: Boswana
🇧🇾	bendèra, bendèra: Ruslan Puti
🇧🇿	bendèra, bendèra: Bélis
🇨🇦	bendèra, bendèra: Kanada
🇨🇨	bendèra, bendèra: Pulo Kokos (Keeling)
🇨🇩	bendèra, bendèra: Kongo - Kinsasa
🇨🇫	bendèra, bendèra: Kiblik Aprika Tenga
🇨🇬	bendèra, bendèra: Kongo - Brasawil
🇨🇭	bendèra, bendèra: Switserlan
🇨🇮	bendèra, bendèra: Panté Gading
🇨🇰	bendèra, bendèra: Pulo Cook
🇨🇱	bendèra, bendèra: Cili
🇨🇲	bendèra, bendèra: Kamérun
🇨🇳	bendèra, bendèra: Tiongkok
🇨🇴	bendèra, bendèra: Kolombia
🇨🇵	bendèra, bendèra: Pulo Kliperten
🇨🇶	bendèra, bendèra: Sarek
🇨🇷	bendèra, bendèra: Kosta Rika
🇨🇺	bendèra, bendèra: Kuba
🇨🇻	bendèra, bendèra: Tanjung Ijo
🇨🇼	bendèra, bendèra: Kurasao
🇨🇽	bendèra, bendèra: Pulo Natal
🇨🇾	bendèra, bendèra: Sipres
🇨🇿	bendèra, bendèra: Cèki
🇩🇪	bendèra, bendèra: Dètslan
🇩🇬	bendèra, bendèra: Diégo Garsia
🇩🇯	bendèra, bendèra: Jibuti
🇩🇰	bendèra, bendèra: Dènemarken
🇩🇲	bendèra, bendèra: Dominika
🇩🇴	bendèra, bendèra: Kiblik Dominika
🇩🇿	bendèra, bendèra: Aljajaèr
🇪🇦	bendèra, bendèra: Sabtah èn Mélila
🇪🇨	bendèra, bendèra: Èkuador
🇪🇪	bendèra, bendèra: Èstlan
🇪🇬	bendèra, bendèra: Mesir
🇪🇭	bendèra, bendèra: Sahara Kulon
🇪🇷	bendèra, bendèra: Èritréa
🇪🇸	bendèra, bendèra: Spanyol
🇪🇹	bendèra, bendèra: Habsi (Ètiopi)
🇪🇺	bendèra, bendèra: Uni Èropa
🇫🇮	bendèra, bendèra: Pinlan
🇫🇯	bendèra, bendèra: Piji
🇫🇰	bendèra, bendèra: Pulo Paklan
🇫🇲	bendèra, bendèra: Mikronési
🇫🇴	bendèra, bendèra: Pulo Pèrower
🇫🇷	bendèra, bendèra: Prasman
🇬🇦	bendèra, bendèra: Gabon
🇬🇧	bendèra, bendèra: Kerajaan Rempug
🇬🇩	bendèra, bendèra: Grénada
🇬🇪	bendèra, bendèra: Géorgi
🇬🇫	bendèra, bendèra: Guyana Prasman
🇬🇬	bendèra, bendèra: Gèrensi
🇬🇭	bendèra, bendèra: Gana
🇬🇮	bendèra, bendèra: Jabal Tarik
🇬🇱	bendèra, bendèra: Grunlan
🇬🇲	bendèra, bendèra: Gambia
🇬🇳	bendèra, bendèra: Giné
🇬🇵	bendèra, bendèra: Guadelup
🇬🇶	bendèra, bendèra: Giné Katulistiwa
🇬🇷	bendèra, bendèra: Yunani
🇬🇸	bendèra, bendèra: Géorgi Kidul èn Pulo Sènwit Kidul
🇬🇹	bendèra, bendèra: Guatémala
🇬🇺	bendèra, bendèra: Guam
🇬🇼	bendèra, bendèra: Giné-Biso
🇬🇾	bendèra, bendèra: Guyana
🇭🇰	bendèra, bendèra: Daèrah Bestir Istimèwa Hongkong
🇭🇲	bendèra, bendèra: Pulo Hered èn MikDonal
🇭🇳	bendèra, bendèra: Honduras
🇭🇷	bendèra, bendèra: Kroasi
🇭🇹	bendèra, bendèra: Haiti
🇭🇺	bendèra, bendèra: Honggari
🇮🇨	bendèra, bendèra: Pulo Kenari
🇮🇩	bendèra, bendèra: Indonésia
🇮🇪	bendèra, bendèra: Irlan
🇮🇱	bendèra, bendèra: Israèl
