😅	cara, cara somrient amb una gota de suor, emocionada, emocionat, estressada, estressat, estrés, nerviosa, nerviós, obert, somriure, suor, suor freda
🤯	cap que explota, estupefacta, estupefacte, explotar, impossible, impressionada, impressionat, sorpresa, sorprés
😟	cara, cara de preocupació, estrés, nerviosa, nervis, nerviós, preocupació, preocupada, preocupat, sorpresa, sorprés
😮	apa!, boca, bocabadada, bocabadat, cara, cara amb la boca oberta, estupefacta, estupefacte, increïble, no et crec, oberta, sorpresa, sorprés
😯	Déu meu, atònit, atònita, cara, cara de sorpresa, oh!, sorpresa, sorprés, èpic
😱	Munch, cara, cara que crida de por, crit de por, espantada, espantat, por, pànic, sorpresa, sorprés, temorosa, temorós, terror
👹	cara, conte, conte de fades, criatura, dimoni, esgarrifós, fantasia, japonés, monstre, màscara, ogre, ogre japonés
👺	cara, conte, conte de fades, criatura, enfadat, fantasia, follet, follet japonés, japonés, malvat, monstre, màscara
🙀	animal, cara, cara de gat espantat, espantat, gat, gat sorprés, oh, por, sorpresa, sorprés
👶	bebé, bebés, embarassada, jove, nadó, nounat
👶🏻	bebé, bebés, embarassada, jove, nadó, nounat, pell molt clara
👶🏼	bebé, bebés, embarassada, jove, nadó, nounat, pell bastant clara
👶🏽	bebé, bebés, embarassada, jove, nadó, nounat, pell morena
👶🏾	bebé, bebés, embarassada, jove, nadó, nounat, pell fosca
👶🏿	bebé, bebés, embarassada, jove, nadó, nounat, pell molt fosca
؋	afgani afganés
฿	baht tailandés
₵	cedi ghanés
₼	manat azerbaidjanés
