‾	надчеркивание, ҫӳлтен йӗр
_	аялтан туртни палли
-	дефис, дефис-минус, минус, тире
‐	дефис, йӗр, тире
–	вӑтам тире
—	вӑрӑм тире
―	тире
・	вӑтам пӑнчӑ, катакан интерпункчӗ, катакан интерпункчӗинтерпункт, катаканӑн, пӑнчӑ
,	хÿреллĕ пăнчă
،	араб хÿреллĕ пăнчă
、	идеографи хÿреллĕ пăнчă
;	пăнчăпа хӳреллĕ пăнчă
؛	араб пăнчăпа хӳреллĕ пăнчă
:	икĕ пăнчă
!	кăшкăру палли
¡	ӳпӗнтернӗ кӑшкӑру палли
?	ыйту палли
¿	ыйту, ыйту палли, ӳпӗнтернӗ, ӳпӗнтернӗ ыйту палли
؟	араб, араб ыйту палли, ыйту, ыйту палли
‽	интерробанг, кăшкăру-ыйту палли
.	вӗҫӗ, пӑнчӑ
…	виçĕ пăнчă, пӑнчӑсем
。	идеографи пӑнчи, пӑнчӑ
·	вӑтам, интерпункт, пӑнчӑ
'	апостол, кавычка, машина апостроф, пĕр хутлă чĕрнешке
‘	апостроф, пĕр хутлă чĕрнешке, уҫакан, уҫакан чĕрнешке, чĕрнешке
’	апостроф, хупакан, хупӑ пĕр хутлă чĕрнешке, хупӑ чĕрнешке, чĕрнешке
‚	апостроф, аялти хупӑ пĕр хутлă чĕрнешке, аялти чĕрнешке, чĕрнешке
“	икӗ хут чĕрнешке, уҫакан икӗ хутлӑ чĕрнешке, чĕрнешке
”	икӗ хутлӑ чĕрнешке, хупакан чĕрнешке, хупӑ икӗ хутлӑ чĕрнешке, чĕрнешке
„	аялти хупӑ икӗ хутлӑ чĕрнешке, икӗ хутлӑ чĕрнешке, хупакан чĕрнешке, чĕрнешке
«	сулахаялла, уҫакан француз чĕрнешке, чӑрӑш, шеврон
»	сылтӑмалла, хупӑ француз чĕрнешке, чӑрӑш, шеврон
)	хăлăпка, хупӑ, хупӑ çаврака хăлăпка, ҫаврака
[	тӑваткал, уҫакан, уҫакан тӑваткал хăлăпка, хăлăпка
]	тӑваткал, хăлăпка, хупӑ, хупӑ тӑваткал хăлăпка
{	уҫакан, уҫакан фигурăлла хăлăпка, фигурӑллӑ, хăлăпка
}	фигурӑллӑ, хăлăпка, хупӑ, хупӑ фигурăлла хăлăпка
〈	кĕтесле, уҫакан, уҫакан кĕтесле хăлăпка, хăлăпка
〉	кĕтесле, хăлăпка, хупӑ, хупӑ кĕтесле хăлăпка
《	икӗ хутлӑ, кĕтесле, уҫакан, уҫакан икӗ хутлӑ кĕтесле хăлăпка, хăлăпка
》	икӗ хутлӑ, кĕтесле, хăлăпка, хупӑ, хупӑ икӗ хутлӑ кĕтесле хăлăпка
「	тӳркӗтеслӗ, уҫакан, уҫакан тӳркӗтеслӗ хăлăпка, хăлăпка
」	тӳркӗтеслӗ, хăлăпка, хупӑ, хупӑ тӳркӗтеслӗ хăлăпка
『	сӑрламан, тӳркӗтеслӗ, уҫакан, уҫакан сӑрламан тӳркӗтеслӗ хăлăпка, хăлăпка
』	сӑрламан, тӳркӗтеслӗ, хăлăпка, хупӑ, хупӑ сӑрламан тӳркӗтеслӗ хăлăпка
【	линзи, сӑрлана, уҫакан, уҫакан сӑрлана линзи хăлăпка, хăлăпка
】	линзи, сӑрлана, хăлăпка, хупӑ, хупӑ сӑрлана линзи хăлăпка
〔	тимӗр шапа, уҫакан, уҫакан тимӗр шапа хăлăпка, хăлăпка
〕	тимӗр шапа, хăлăпка, хупӑ, хупӑ тимӗр шапа хăлăпка
〖	линзи, сӑрламан, уҫакан, уҫакан сӑрламан линзи хăлăпка, хăлăпка
〗	линзи, сӑрламан, хăлăпка, хупӑ, хупӑ сӑрламан линзи хăлăпка
§	пайлану, параграф, пункт
