‾	Oberstrich, Überstrich
‽	Fragerufzeichen, Interrobang
”	schliessendes doppeltes Anführungszeichen
)	Klammer, Parenthese, runde Klammer, schliessende Klammer, schliessende runde Klammer
]	eckige Klammer, eckige Klammer rechts, schliessende eckige Klammer
}	geschweifte Klammer, geschweifte Klammer rechts, geschwungene Klammer, geschwungene Klammer rechts, schliessende geschweifte Klammer, schliessende geschwungene Klammer
〉	Pfeilspitze rechts, Winkelklammer, schliessende Winkelklammer, schliessende spitze Klammer, spitze Klammer, spitze Klammer rechts
》	Klammer, doppelte spitze Klammer, schliessende doppelte spitze Klammer
」	Eckklammer, Klammer, schliessende Eckklammer, schliessende rechtwinklige Klammer
『	Klammer, weisse Eckklammer, öffnende weisse Eckklammer
』	Klammer, schliessende rechtwinklige Klammer hohl, schliessende weisse Eckklammer, weisse Eckklammer
】	Klammer, konkave Klammer, schliessende schwarze konkave Klammer, schwarze konkave Klammer
〕	rechte stumpfe Klammer, schliessende Klammer mit stumpfen Winkeln, schliessende stumpfe Klammer, stumpfe Klammer
〗	Klammer, hohle konkave Klammer, konkave Klammer, schliessende hohle konkave Klammer, schliessende linsenförmige Klammer hohl
§	Paragraph
@	Adresszeichen, Affenschaukel, Affenschwanz, At, At-Zeichen, Klammeraffe
⁂	Asterism, Dreifachsternchen, Sterngruppe
`	Accent grave, Akzent, Betonung, Gravis
´	Accent aigu, Akut, Akzent, Betonung
↹	Ofeil, Pfeil nach links auf Strich zulaufend über Pfeil nach rechts auf Strich zulaufend, Strich, links, rechts, über Pfeil nach rechts auf Strich
↼	Harpune, Harpune nach links mit Zacken nach oben, Harpune nach oben mit Zacken nach oben
↾	Harpune, Harpune nach oben mit Zacken nach rechts
↿	Harpune, Harpune nach oben mit Zacken nach links
⇀	Harpune, Harpune nach oben mit Zacken nach oben, Harpune nach rechts mit Zacken nach oben
⇁	Harpune, Harpune nach oben mit Zacken nach unten, Harpune nach rechts mit Zacken nach unten
⇂	Harpune, Harpune nach oben mit Zacken nach oben, Harpune nach unten mit Zacken nach rechts
⇃	Harpune, Harpune nach unten mit Zacken nach links
⇦	weisser Pfeil nach links
⇧	weisser Pfeil nach oben
⇨	weisser Pfeil nach rechts
⇩	weisser Pfeil nach unten
⇪	weisser Pfeil nach oben von Strich weglaufend
∂	Ableitung, partielle Ableitung
∎	Beweis, Ende des Beweises, q.e.d., qed
∑	Mathematik, Summe, Summenzeichen
≮	Mathematik, nicht kleiner als, nicht weniger als
=	gleich
>	Grösser-als-Zeichen, grösser als
≯	Mathematik, nicht grösser als
|	Längsstrich, Pipe, Pipe-Symbol, Pipe-Zeichen, senkrechter Strich, vertikaler Strich
∓	minus oder plus, plusminus
∕	Divisionsstrich, Längsstrich, Slash, Strich
⁄	Bruchsstrich, Bruchstrich, Schrägstrich, Strich
∗	Stern, Sternchen, Sternchen-Operator
∘	Operator, Ring-Operator
∙	Kreis-Operator, Operator
∝	Proportionalität, proportional, proportional zu
∟	Mathematik, rechter Winkel
∠	Mathemaik, Winkel, Winkel-Zeichen
∣	Teilt-Zeichen, teilen
∧	ac, atque, logisches Und
∫	Integral, Rechnen
∬	Doppelintegral, Rechnen
∵	Weil, logisch
∷	Proportion, Proportionalität, Proportionszeichen
∼	Operator, Tilde, Tilde-Operator
