≤	inequality, less-than, less-than or equal
≥	greater-than, greater-than or equal, inequality
⋭	does not contain as normal subgroup, does not contain as normal subgroup equal, does not contain as normal subgroup or equal, group theory, mathematics
🤭	face with hand over mouth, whoops
🤫	quiet, shooshing face, shush, shushing face
😴	ZZZ, face, good night, sleep, sleeping face
🥵	feverish, flushed, heat stroke, hot, hot face, red-faced, sweating
😳	awkward, dazed, disbelief, embarrassed, face, flushed, geez, hot, jeez, what, wow
🥹	admiration, aww, cry, face, feelings, grateful, gratitude, joy, please, proud, sad, tears
😱	Munch, face, face screaming in fear, fear, scared, scream
🥱	bedtime, bored, face, goodnight, nap, night, sleep, tired, yawn, zzz
😈	devil, face, fantasy, horns, smile, smiling face with horns
💩	bs, doo, dung, face, pile, poo, poop, smelly, stink, turd
💯	100, a+, agree, definitely, hundred, keep, perfect, point, score, true, yup
🖖	Vulcan salute, finger, hand, spock, vulcan
🖖🏻	Vulcan salute, Vulcan salute: light skin tone, finger, hand, light skin tone, spock, vulcan
🖖🏼	Vulcan salute, Vulcan salute: medium-light skin tone, finger, hand, medium-light skin tone, spock, vulcan
🖖🏽	Vulcan salute, Vulcan salute: medium skin tone, finger, hand, medium skin tone, spock, vulcan
🖖🏾	Vulcan salute, Vulcan salute: medium-dark skin tone, finger, hand, medium-dark skin tone, spock, vulcan
🖖🏿	Vulcan salute, Vulcan salute: dark skin tone, dark skin tone, finger, hand, spock, vulcan
🤙	call, call me hand, call-me hand, hand, shaka
🤙🏻	call, call me hand, call-me hand, hand, light skin tone, shaka
🤙🏼	call, call me hand, call-me hand, hand, medium-light skin tone, shaka
🤙🏽	call, call me hand, call-me hand, hand, medium skin tone, shaka
🤙🏾	call, call me hand, call-me hand, hand, medium-dark skin tone, shaka
🤙🏿	call, call me hand, call-me hand, dark skin tone, hand, shaka
🙌	celebration, gesture, hand, hooray, raised, raising hands
🙌🏻	celebration, gesture, hand, hooray, light skin tone, raised, raising hands
🙌🏼	celebration, gesture, hand, hooray, medium-light skin tone, raised, raising hands
🙌🏽	celebration, gesture, hand, hooray, medium skin tone, raised, raising hands
🙌🏾	celebration, gesture, hand, hooray, medium-dark skin tone, raised, raising hands
🙌🏿	celebration, dark skin tone, gesture, hand, hooray, raised, raising hands
👦	boy, young, young person
👦🏻	boy, light skin tone, young, young person
👦🏼	boy, medium-light skin tone, young, young person
👦🏽	boy, medium skin tone, young, young person
👦🏾	boy, medium-dark skin tone, young, young person
👦🏿	boy, dark skin tone, young, young person
👧	Virgo, girl, young person, zodiac
👧🏻	Virgo, girl, light skin tone, young person, zodiac
👧🏼	Virgo, girl, medium-light skin tone, young person, zodiac
👧🏽	Virgo, girl, medium skin tone, young person, zodiac
👧🏾	Virgo, girl, medium-dark skin tone, young person, zodiac
👧🏿	Virgo, dark skin tone, girl, young person, zodiac
🧑‍🔧	electrician, mechanic, plumber, tradesperson, tradie
🧑🏻‍🔧	electrician, light skin tone, mechanic, plumber, tradesperson, tradie
🧑🏼‍🔧	electrician, mechanic, medium-light skin tone, plumber, tradesperson, tradie
🧑🏽‍🔧	electrician, mechanic, medium skin tone, plumber, tradesperson, tradie
🧑🏾‍🔧	electrician, mechanic, medium-dark skin tone, plumber, tradesperson, tradie
🧑🏿‍🔧	dark skin tone, electrician, mechanic, plumber, tradesperson, tradie
👨‍💼	business man, man office worker, manager, office worker, white collar
👨🏻‍💼	business man, light skin tone, man office worker, manager, office worker, white collar
👨🏼‍💼	business man, man office worker, manager, medium-light skin tone, office worker, white collar
👨🏽‍💼	business man, man office worker, manager, medium skin tone, office worker, white collar
👨🏾‍💼	business man, man office worker, manager, medium-dark skin tone, office worker, white collar
👨🏿‍💼	business man, dark skin tone, man office worker, manager, office worker, white collar
👩‍💼	business woman, manager, office worker, white collar, woman office worker
👩🏻‍💼	business woman, light skin tone, manager, office worker, white collar, woman office worker
👩🏼‍💼	business woman, manager, medium-light skin tone, office worker, white collar, woman office worker
👩🏽‍💼	business woman, manager, medium skin tone, office worker, white collar, woman office worker
👩🏾‍💼	business woman, manager, medium-dark skin tone, office worker, white collar, woman office worker
👩🏿‍💼	business woman, dark skin tone, manager, office worker, white collar, woman office worker
👨‍🎨	artist, man, painter, palette
👨🏻‍🎨	artist, light skin tone, man, painter, palette
👨🏼‍🎨	artist, man, medium-light skin tone, painter, palette
👨🏽‍🎨	artist, man, medium skin tone, painter, palette
👨🏾‍🎨	artist, man, medium-dark skin tone, painter, palette
👨🏿‍🎨	artist, dark skin tone, man, painter, palette
👩‍🎨	artist, painter, palette, woman
👩🏻‍🎨	artist, light skin tone, painter, palette, woman
👩🏼‍🎨	artist, medium-light skin tone, painter, palette, woman
👩🏽‍🎨	artist, medium skin tone, painter, palette, woman
👩🏾‍🎨	artist, medium-dark skin tone, painter, palette, woman
👩🏿‍🎨	artist, dark skin tone, painter, palette, woman
🕵️	detective, investigator, sleuth, spy
🕵🏻	detective, investigator, light skin tone, sleuth, spy
🕵🏼	detective, investigator, medium-light skin tone, sleuth, spy
🕵🏽	detective, investigator, medium skin tone, sleuth, spy
🕵🏾	detective, investigator, medium-dark skin tone, sleuth, spy
🕵🏿	dark skin tone, detective, investigator, sleuth, spy
🕵‍♂	detective, investigator, man, sleuth, spy
🕵🏻‍♂	detective, investigator, light skin tone, man, sleuth, spy
🕵🏼‍♂	detective, investigator, man, medium-light skin tone, sleuth, spy
🕵🏽‍♂	detective, investigator, man, medium skin tone, sleuth, spy
🕵🏾‍♂	detective, investigator, man, medium-dark skin tone, sleuth, spy
