‾	surlignéation, trait suscrit, vinculé
‽	exclarrogatif, point
…	ellipse
〈	chevron, chevron angulaire, chevron pointu, crochet, crochet oblique ouvrant, crochets obliques, tuple
〉	angulaire, chevron, crochet, crochet oblique fermant, fermant, oblique, pointu, tuple
《	crochet, crochet en chevron, crochet en chevron double ouvrant
》	crochet, crochet en chevron double, crochet en chevron double fermant
「	anglet gauche ouvrant, crochet, crochet de partie entière
」	anglet fermant, crochet, crochet de partie entière
¶	alinéa, paragraphe, paraphe, pied-de-mouche, symbole du paragraphe
@	a commercial, arobas, arobase, arroba, arrobe
/	barre de division, barre de fraction, barre oblique, trait oblique
\	barre oblique inverse, barre oblique inversée, oblique
&	esperluette, et, perluette, perluète
#️	croisillon, dièse, lb, livre, numéro
%	pour cent
‧	emplacement de coupure de mots, point, tiret, union
※	appel de note, marque de référence
⁂	astérisme, étoiles
`	accent, grave
´	accent, aigu
^	accent, caret, chapeau, chevron, circonflexe, puissance, symbole xor
¨	tréma
↚	barrée, flèche, gauche
↛	barrée, droite, flèche
↜	flèche, gauche, ondulée
↝	droite, flèche, ondulée
↞	deux pointes, flèche, gauche
↟	deux, flèche, gauche, pointes
↠	deux, droite, flèche, pointes
↡	bas, deux, flèche, pointes
↢	empennée, flèche, flèche vers la gauche empennée, gauche
↣	droite, empennée, flèche, flèche vers la droite empennée
↤	flèche, gauche, taquet
↥	flèche, haut, taquet
↦	droite, flèche, taquet
↧	bas, flèche, taquet
↨	bas, base, flèche, haut
↫	boucle, flèche, flèche vers la gauche à boucle, gauche
↬	boucle, droite, flèche, flèche vers la droite à boucle
↭	droite, flèche, gauche, ondulée
↯	bas, flèche, zigzag
↰	flèche, gauche, haut, pointe
↱	droite, flèche, haut, pointe
↲	bas, flèche, gauche, pointe
↳	bas, droite, flèche, pointe
↴	bas, droite, flèche, flèche vers la droite avec pointe vers le bas, pointe
↵	bas, coin, flèche, gauche
↶	antihoraire, flèche, flèche semi-circulaire antihoraire supérieure, semi-circulaire, supérieure
↷	flèche, flèche semi-circulaire sens horaire supérieure, horaire, semi-circulaire, supérieure
↸	flèche, long, nord-ouest, taquet
↹	droite, flèche, gauche, superposée, taquets
↺	antihoraire, circulaire, flèche, ouverte
↻	circulaire, flèche, horaire, ouverte
↼	barbillon, gauche, harpon, haut
↽	barbillon, bas, gauche, harpon
↾	barbillon, droite, harpon, haut
↿	barbillon, gauche, harpon, haut
⇀	barbillon, droite, harpon, haut
⇁	barbillon, bas, droite, harpon
⇂	barbillon, bas, droite, harpon
⇃	barbillon, bas, gauche, harpon
⇄	droite, flèche, gauche
⇇	flèches, gauche, paire
⇈	flèches, haut, paire
⇉	droite, flèches, paire
⇊	bas, flèches, paire
⇋	droite, gauche, harpon
⇌	droite, gauche, harpon
⇐	double, double flèche vers la gauche, flèche, gauche
⇍	barrée, double, flèche, gauche
⇑	double, double flèche vers le haut, flèche, haut
⇒	double, double flèche vers la droite, droite, flèche
⇏	barrée, double, droite, flèche
⇓	barrée, bas, double, double flèche vers le bas, flèche
⇔	double, double flèche gauche-droite, droite, flèche, gauche
⇎	barrée, double, droite, flèche, gauche
⇖	double, double flèche nord-ouest, flèche, nord-ouest
⇗	double, double flèche nord-est, flèche, nord-est
⇘	double, double flèche sud-est, flèche, sud-est
⇙	double, double flèche sud-ouest, flèche, sud-ouest
⇚	flèche, gauche, triple, triple flèche vers la gauche
⇛	droite, flèche, triple, triple flèche vers la droite
⇜	flèche, gauche, tire-bouchon
⇝	droite, flèche, tire-bouchon
⇞	barre, double, flèche, haut
⇟	barre, bas, double, flèche
⇠	discontinue, flèche, gauche, pointillée
⇡	discontinue, flèche, haut, pointillée
⇢	discontinue, droite, flèche, pointillée
⇣	bas, discontinue, flèche, flèche à traits discontinus vers le bas, pointillée
⇤	flèche, gauche, taquet
⇥	droite, flèche, taquet
⇦	creuse, flèche, gauche
⇧	creuse, flèche, haut
⇨	creuse, droite, flèche
⇩	bas, creuse, flèche
⇪	creuse, flèche, haut, taquet
⇵	bas, flèche, haut
