‾	auer, auer streg, streg
_	oner, oner streg, streg
-	minus, minus streg, streg
‐	binj, binj streg, streg
–	hualew, hualew streg, streg
—	fol, fol streg, streg
―	seenk, seenk streg, streg
・	katakana, katakana madel ponkt, madel, ponkt
,	komma
،	araabisk, araabisk komma, komma
、	ideograafisk, ideograafisk komma, komma
;	semikolon
؛	araabisk, araabisk semikolon, semikolon
:	dobel, dobel ponkt, ponkt
!	tiaken, ütjrep, ütjrep tiaken
¡	amdreid ütjrep tiaken, tiaken, ütjrep
?	fraag, fraag tiaken, tiaken
¿	amdreid fraag tiaken, fraag, tiaken
؟	araabisk, araabisk fraag tiaken, fraag, tiaken
‽	fraag, fraag rep tiaken, rep, tiaken
.	oner, oner ponkt, ponkt
…	ponkter, ütjläät, ütjläät ponkter
。	ideograafisk, ideograafisk oner ponkt, oner, ponkt
·	madel, madel ponkt, ponkt
'	apostroof, lik, lik apostroof
‘	apostroof, lachts, lachts apostroof
’	apostroof, rochts, rochts apostroof
‚	apostroof, oner, rochts, rochts oner apostroof
“	lachts, lachts uunfeer tiaken, tiaken, uunfeer
”	rochts, rochts uunfeer tiaken, tiaken, uunfeer
„	oner, rochts, rochts oner uunfeer tiaken, tiaken, uunfeer
«	fransöösk, lachts, lachts uunfeer tiaken fransöösk, tiaken, uunfeer
»	fransöösk, rochts, rochts uunfeer tiaken fransöösk, tiaken, uunfeer
)	klääm, trinj, trinj klääm tu, tu
[	eeben, huket, huket klääm eeben, klääm
]	huket, huket klääm tu, klääm, tu
{	eeben, klääm, sleuf, sleuf klääm eeben
}	klääm, sleuf, sleuf klääm tu, tu
〈	eeben, klääm, winkel, winkel klääm eeben
〉	klääm, tu, winkel, winkel klääm tu
《	dobel, dobel winkel klääm eeben, eeben, klääm, winkel
》	dobel, dobel winkel klääm tu, klääm, tu, winkel
「	eeben, huk, huk klääm eeben, klääm
」	huk, huk klääm tu, klääm, tu
『	eeben, hool, hool huk klääm eeben, huk, klääm
』	hool, hool huk klääm tu, huk, klääm, tu
【	eeben, klääm, lens, lens klääm eeben
】	klääm, lens, lens klääm tu, tu
〔	eeben, klääm, trapeets, trapeets klääm eeben
〕	klääm, trapeets, trapeets klääm tu, tu
〖	eeben, hool, hool lens klääm eeben, klääm, lens
〗	hool, hool lens klääm tu, klääm, lens, tu
§	ufsaat
¶	tiaken, ufsaat, ufsaat tiaken
@	at, at tiaken, tiaken
*️	stäär, stäär sümbool
/	streg, swäärs, swäärs streg
\	amkiard swäärs streg, streg, swäärs
&	et, et tiaken, tiaken
#️	rütj, rütj tiaken, tiaken
%	prosent
‰	promil
†	krüs
‡	dobel krüs
•	aptääl, aptääl ponkt, ponkt
‧	ponkt, silwen, silwen ponkt
′	huuch, huuch komma, komma
″	dobel huuch komma, huuch, komma
‴	huuch, komma, trebel huuch komma
‸	huuch, huuch tiaken, tiaken
※	referens, referens tiaken, tiaken
⁂	stäären, trii, trii stäären
`	aksent, aksent grave, grave
´	acute, aksent, aksent acute
^	aksent, aksent circumflex, circumflex
¨	trema
°	graad
℗	copyright, copyright musiik, musiik
←	lachts, piil, piil lachts
↚	lachts, lachts piil stregen, piil, stregen
→	piil, piil rochts, rochts
↛	piil, rochts, rochts piil stregen, stregen
↑	ap, piil, piil ap
↓	deel, piil, piil deel
↜	lachts, waag, waag lachts
↝	rochts, waag, waag rochts
↞	lachts, lachts piil dobel spas, piil, spas
↟	ap, ap piil dobel spas, piil, spas
↠	dobel, piil, rochts, rochts dobel piil
↡	deel, deel piil dobel spas, piil, spas
↢	lachts, lachts piil mä stört, piil, stört
↣	piil, rochts, rochts piil mä stört, stört
↤	began, lachts, lachts piil mä began, piil
↥	ap, ap piil mä began, began, piil
↦	began, piil, rochts, rochts piil mä began
↧	began, deel, deel piil mä began, piil
↨	ap, ap deel piil mä began, began, deel, piil
↫	lachts, lachts piil mä sleuf, piil, sleuf
↬	piil, rochts, rochts piil mä sleuf, sleuf
↭	lachts, rochts, waag, waag lachts rochts
↯	deel, laid, laid deel piil, piil
↰	ap, ap lachts piil, lachts, piil
↱	ap, ap rochts piil, piil, rochts
↲	deel, deel lachts piil, lachts, piil
↳	deel, deel rochts piil, piil, rochts
↴	deel, piil, rochts, rochts an deel piil
↵	deel, deel an lachts piil, lachts, piil
↶	ap, ap an lachts deel piil, deel, lachts, piil
↷	ap, ap an rochts deel piil, deel, piil, rochts
↸	nuurd, nuurd waast piil streg, piil, streg, waast
↹	aanj, lachts, lachts auer rochts piiler mä aanj, piil, rochts
↺	ap, deel, deel an rochts ap piil, piil, rochts
↻	ap, deel, deel an lachts ap piil, lachts, piil
↼	ap, harpuun, harpuun lachts ap, lachts
↽	deel, harpuun, harpuun lachts deel, lachts
↾	ap, harpuun, harpuun ap rochts, rochts
↿	ap, harpuun, harpuun ap lachts, lachts
⇀	ap, harpuun, harpuun rochts ap, rochts
⇁	deel, harpuun, harpuun rochts deel, rochts
⇂	deel, harpuun, harpuun deel rochts, rochts
⇃	deel, harpuun, harpuun deel lachts, lachts
⇄	lachts, piiler, rochts, rochts auer lachts piiler
⇅	ap, ap an deel piiler, deel, piil
⇆	lachts, lachts auer rochts piiler, piil, rochts
⇇	lachts, piiler, tau, tau piiler lachts
⇈	ap, piiler, tau, tau piiler ap
⇉	piiler, rochts, tau, tau piiler rochts
⇊	deel, piiler, tau, tau piiler deel
⇋	harpuun, lachts, lachts auer rochts harpuun, rochts
⇌	harpuun, lachts, rochts, rochts auer lachts harpuun
⇐	dobel, dobel piil lachts, lachts, piil
⇍	dobel, dobel piil lachts stregen, lachts, piil, stregen
⇑	ap, dobel, dobel piil ap, piil
⇒	dobel, dobel rochts piil, piil, rochts
⇏	dobel, dobel rochts piil stregen, piil, rochts, stregen
⇓	deel, dobel, dobel piil deel, piil
⇔	dobel, dobel lachts rochts piil, lachts, piil, rochts
⇎	dobel, dobel lachts rochts piil stregen, lachts, piil, rochts, stregen
⇖	dobel, nuurd, nuurd waast dobel piil, piil, waast
⇗	dobel, nuurd, nuurd uast dobel piil, piil, uast
⇘	dobel, piil, süüd, süüd uast dobel piil, uast
⇙	dobel, piil, süüd, süüd waast dobel piil, waast
⇚	lachts, piil, trebel, trebel piil lachts
⇛	piil, rochts, trebel, trebel piil rochts
⇜	lachts, piil, slaang, slaang piil lachts
⇝	piil, rochts, slaang, slaang piil rochts
⇞	ap, dobel, piil, piil ap dobel stregen, stregen
⇟	deel, dobel, piil, piil deel dobel stregen, stregen
⇠	lachts, piil, streget, streget piil lachts
⇡	ap, piil, streget, streget piil ap
⇢	piil, rochts, streget, streget piil rochts
⇣	deel, piil, streget, streget piil deel
⇤	lachts, lachts piil streg, piil, streg
⇥	piil, rochts, rochts piil streg, streg
⇦	hool, lachts, lachts piil hool, piil
⇧	ap, ap piil hool, hool, piil
⇨	hool, piil, rochts, rochts piil hool
⇩	deel, deel piil hool, hool, piil
⇪	ap, ap piil hool mä began, began, hool, piil
⇵	ap, deel, lachts, lachts deel rochts ap piil, piil, rochts
∀	aal, aaltumaal, för aal
∂	diferentsial, partsiel, partsiel diferentsial
