‾	forlíne
_	dais, dais íseal, fodhais, folíne, líne, líne íseal
-	dais, fleiscín, fleiscín-lúide, lúide
‐	dais, fleiscín
–	ein-dais
—	eim-dais
―	barra, barra comthrománach, dais, líne
・	idirphonc, katakana, lárphonc, lárphonc katakana, poncanna
,	camóg
،	arabach, camóg, camóg arabach
、	camóg, camóg idéaagrafach, idéagrafach
;	leathstad
؛	arabach, leathstad, leathstad arabach
:	idirstad
!	béic, comhartha uaillbhreasa, pléasc
¡	aisiompaithe, béic, comhartha uaillbhreasa, comhartha uaillbhreasa aisiompaithe, marc uaillbhreasa, pléasc
?	ceist, comhartha ceiste
¿	aisiompaithe, ceist, comhartha ceiste, comhartha ceiste aisiompaithe
؟	arabach, ceist, comhartha ceiste, comhartha ceiste arabach
‽	comhartha ceiste uaillbhreasa
.	lánstad, ponc
…	bearna san insint, easnamh, poncanna
。	idéagrafach, lánstad, lánstad idéagrafach
·	lárphonc
'	aonair, comhartha athfhriotail, uaschamóg, uaschamóg chlóscríobháin
‘	aonair, camóg ar chlé, comhartha athfhriotail, comhartha cliste, uaschamóg, uaschamóg ar chlé
’	aonair, comartha athfhriotail, comhartha cliste, uaschamóg, uaschamóg ar dheis
‚	comhartha athfhriotail, uaschamóg, uaschamóg íseal ar dheis, íseal
“	cliste, comhartha athfhriotail, comhartha athfhriotail ar chlé, dúbailte
”	cliste, comhartha athfhriotail ar dheis, comhartha athfhriotail dúbailte
„	cliste, comhartha athfhriotail dúbailte, comhartha athfhriotail íseal ar dheis, íseal
«	clé, lúibín uilleach, rachtán tosaigh
»	deas, lúibín uilleach, rachtán deiridh
)	lúibín, lúibín ciorclach, lúibín deiridh, lúibíní
[	croisín, lúibín, lúibín cearnógach, lúibín cearnógach tosaigh
]	croisín, lúibín, lúibín cearnógach, lúibín cearnógach deiridh
{	cuing, cuing chatach, lúibín catach, lúibín catach tosaigh
}	cuing, cuing chatach, lúibín, lúibín catach, lúibín catach deiridh
〈	codach, lúibín, lúibín pointe, lúibín uillinne, lúibín uillinne tosaigh, lúibíní muileata, rachtán
〉	codach, lúibín, lúibín pointe, lúibín uillinne, lúibín uillinne deiridh, lúibíní muileata, rachtán
《	lúibín, lúibín uillinne dúbailte, lúibín uillinne dúbailte tosaigh
》	lúibín, lúibín uillinne dúbailte, lúibín uillinne dúbailte deiridh
「	lúibín, lúibín cúinne, lúibín cúinne tosaigh
」	lúibín, lúibín cúinne, lúibín cúinne deiridh
