‾	וינקולום, מחיקה, קו עליון
_	מקף תחתון, קו תחתון, קו תחתי
-	מינוס, מקף, מקף-מינוס, קו
‐	מקף, פיסוק
–	en dash, קו מפריד, קו מפריד קצר, קצר
—	em dash, ארוך, קו מפריד, קו מפריד ארוך
―	מקף, קו, קו מפריד
・	כתב יפני, נקודה אמצעית בקטקנה, נקודות, קטאקנה, קטקנה
,	פסיק
،	כתב ערבי, פסיק, פסיק בכתב ערבי
、	אידיאוגרפי, פסיק, פסיק בכתב אידיאוגרפי
;	נקודה פסיק, נקודה-פסיק
؛	כתב ערבי, נקודותיים, נקודותיים בכתב הערבי
:	נקודתיים, פיסוק
!	סימן קריאה
¡	הפוך, סימן קריאה, סימן קריאה הפוך, סימן-קריאה
?	סימן שאלה, שאלה
¿	הפוך, סימן שאלה, סימן שאלה הפוך
؟	כתב ערבי, סימן שאלה, סימן שאלה בכתב הערבי
‽	אינטרובאנג, סימן תמיהה, שאלה קריאה
.	נקודה, סוף משפט, פיסוק
…	אליפסיס, שלוש נקודות
。	נקודה, נקודה אידיאוגרפית, סימן אידיאוגרפי
·	אמצע, באמצע, נקודה, נקודת אמצע
'	אפוסטרוף, גרש, גרש ישר, ציטוט
‘	אפוסטרוף, גרש, גרש שמאלי, ציטוט
’	אפוסטרוף, גרש, גרש ימני, ציטוט
‚	אפוסטרוף, גרש, גרש ימני נמוך, ציטוט
“	מירכאות, סימן מירכאות שמאלי, פיסוק, ציטוט
”	מירכאות, סימן מירכאות ימני, פיסוק, ציטוט
„	מירכאות, סימן מירכאות ימני נמוך, פיסוק, ציטוט
«	מירכאות, מירכאות משמאל, מרכאות, ציטוט, שמאל
»	ימין, מירכאות, מירכאות מימין, מרכאות, ציטוט
)	סוגריים, סימן סוגריים סוגר, פיסוק
[	סוגריים, סוגריים מרובעים, סימן פותח של סוגריים מרובעים, פותח, פיסוק
]	סוגר, סוגריים, סוגריים מרובעים, סימן סוגר של סוגריים מרובעים, פיסוק
{	סוגריים, סוגריים מסולסלים, סימן פותח של סוגריים מסולסלים, פותח
}	סוגר, סוגריים, סוגריים מסולסלים, סימן סוגר של סוגריים מסולסלים
〈	זוויות, סוגריים, סוגרים מזוּוים, סימן פותח של סוגריים בצורת זוויות, פותח
〉	זוויות, סוגר, סוגריים, סוגרים מזוּוים, סימן סוגר של סוגריים בצורת זוויות
《	זוויות, סוגריים, סוגרים מזוּוים, סימן פותח של סוגריים בצורת זוויות כפולות, פותח
》	זוויות, סוגר, סוגריים, סוגרים מזוּוים, סימן סוגר של סוגריים בצורת זוויות כפולות
「	סוגריים, סימן פותח של סוגריים בצורת פינה, פותח, פינה עליונה
」	סוגר, סוגריים, סימן סוגר של סוגריים בצורת פינה, פינה תחתונה
『	סוגריים, סימן פותח של סוגריים בצורת פינה חלולה, פותח, פינה חלולה
』	סוגר, סוגריים, סימן סוגר של סוגריים בצורת פינה חלולה, פינה חלולה
【	סוגריים, סימן פותח של סוגריים בצורת עדשה שחורה, עדשה, עדשה שחורה, פותח
】	סוגר, סוגריים, סימן סוגר של סוגריים בצורת עדשה שחורה, עדשה, עדשה שחורה
〔	סוגריים, סוגריים בצורת שיריון צב, סימן פותח של סוגריים בצורת שיריון צב, פותח
〕	סוגר, סוגריים, סוגריים בצורת שיריון צב, סימן סוגר של סוגריים בצורת שיריון צב
〖	סוגריים, סימן פותח של סוגריים בצורת עדשה, עדשה, עדשה חלולה, פותח
〗	סוגר, סוגריים, סימן סוגר של סוגריים בצורת עדשה, עדשה, עדשה חלולה
§	מקטע, סעיף, פסקה
¶	סימון פסקה, פיסקה, פסקה
@	דואר אלקטרוני, כְּרוּכִית, שטרודל
*️	כוכב קטן, כוכבית, תבליט
/	לוכסן, לוכסן אחורי, לוכסן שמאלי, סוֹלִידוּס, קו נטוי
