_	dash, line, low dash, low line, underdash, underline
،	arabic, arabic comma, comma
؛	arabic, arabic semicolon, semicolon
؟	arabic, arabic question mark, question, question mark
.	period
。	full stop, ideographic, ideographic period, period
'	apostrophe, quote, single quote, typewriter apostrophe
‘	apostrophe, left apostrophe, quote, single quote, smart quote
’	apostrophe, quote, right apostrophe, single quote, smart quote
“	double quote, left quotation mark, quotation, quote, smart quotation
”	double quote, quotation, quote, right quotation mark, smart quotation
)	bracket, close parenthesis, paren, parens, parenthesis, round bracket
[	bracket, crotchet, open square bracket, square bracket
]	bracket, close square bracket, crotchet, square bracket
{	brace, bracket, curly brace, curly bracket, gullwing, open curly bracket
}	brace, bracket, close curly bracket, curly brace, curly bracket, gullwing
〈	angle bracket, bracket, chevron, diamond brackets, open angle bracket, pointy bracket, tuple
〉	angle bracket, bracket, chevron, close angle bracket, diamond brackets, pointy bracket, tuple
《	bracket, double angle bracket, open double angle bracket
》	bracket, close double angle bracket, double angle bracket
「	bracket, corner bracket, open corner bracket
」	bracket, close corner bracket, corner bracket
『	bracket, hollow corner bracket, open hollow corner bracket
』	bracket, close hollow corner bracket, hollow corner bracket
【	bracket, lens bracket, lenticular bracket, open black lens bracket
】	bracket, close black lens bracket, lens bracket, lenticular bracket
〔	bracket, open tortoise shell bracket, shell bracket, tortoise shell bracket
〕	bracket, close tortoise shell bracket, shell bracket, tortoise shell bracket
〖	bracket, hollow lens bracket, hollow lenticular bracket, open hollow lens bracket
〗	bracket, close hollow lens bracket, hollow lens bracket, hollow lenticular bracket
@	ampersat, arobase, arroba, at mark, at sign, at-sign
&	ampersand, aur, et
%	percent
‰	per mil, per mille, permil, permille
†	dagger, dagger sign, obelisk, obelus
‡	dagger, double, double dagger sign, obelisk, obelus
^	accent, caret, chevron, circumflex, control, hat, xor sign
¨	diaeresis, umlaut
↚	stroke ke saath leftwards arrow
↛	stroke ke saath rightwards arrow
↞	leftwards two headed arrow
↟	upwards two headed arrow
↠	rightwards two headed arrow
↡	downwards two headed arrow
↢	tail wala leftwards arrow
↣	tail wala rightwards arrow
↨	base ke saath up down arrow
↫	loop wala leftwards arrow
↬	loop wala rightwards arrow
↭	left right wave arrow
↰	leftwards tip wala upwards arrow
↱	rightwards tip wala upwards arrow
↲	leftwards tip wala downwards arrow
↳	rightwards tip wala downwards arrow
↴	downwards corner wala rightwards arrow
↵	downwards corner wala leftwards arrow
↶	anticlockwise top semicircle arrow
↷	clockwise top semicircle arrow
↸	north west arrow long bar
↹	arrow, bar, leftwards, leftwards over rightwards arrow bars, rightwards
↺	anticlockwise open circle arrow
↻	clockwise open circle arrow
↼	barb, leftwards harpoon barb upwards
↽	leftwards harpoon barb downwards
↾	barb, upwards harpoon barb rightwards
↿	barb, upwards harpoon barb leftwards
⇀	barb, rightwards harpoon barb upwards
⇁	barb, rightwards harpoon barb downwards
⇂	barb, downwards harpoon barb rightwards
⇃	barb, downwards harpoon barb leftwards
⇇	leftwards arrows kaa pair
⇈	upwards arrows kaa pair
⇉	rightwards arrows kaa pair
⇊	downwards arrows kaa pair
⇍	strike kiya gaya leftwards double arrow
⇏	strike kiya gaya rightwards double arrow
⇎	strike kiya gaya left-right double arrow
⇖	north west double arrow
⇗	north east double arrow
⇘	south east double arrow
⇙	south west double arrow
⇞	double strike kiya gaya upwards arrow
⇟	double strike kiya gaya downwards arrow
⇤	leftwards arrow bar
⇥	rightwards arrow bar
⇵	downwards aur upwards arrows
∀	given, koi bhi, sabhi, sabhi ke liye, universal
∂	differential, partial differential
∃	Vahan maujood hota hai, there exists, vahan maujood hota hai
∅	empty set, mathematics, set operator
∈	element, iska element, ismein shaamil hai, membership, set
∉	element, element nahi, koi element nahi
∋	element, member ke taur par rakhta hai
∎	end proof, halmos, q.e.d., qed, tombstone
∑	mathematics, n-ary summation, summation
<	isse kam, open tag, tag
≮	baraabar na hona, isse kam nahi, mathematics, not equal
=	baraabar
≠	baraabar na hona, baraabar nahi, not equal
>	close tag, isse bada, tag
≯	baraabar na hona, isse bada nahi, mathematics, not equal
|	pike, pipe, sheffer stroke, stick, vbar, vertical bar, vertical line
∓	minus-or-plus, plus-minus
∝	proportional, proportionality
∣	divides, divisor
∥	parallel
∮	contour integral
∴	hence, isliye, logic
∵	kyonki, logic
≃	asymptote, asymptotically equal, mathematics
≅	almost equal, approximately equal, baraabri, congruence, isomorphism, mathematics
≌	equality, mathematics, sabhi baraabar
≒	approximately, approximately baraabar, approximately equal, approximately image ke equal
≣	equality, mathematics, strictly equivalent
≤	baraabar, baraabar hai, baraabri na hona, isse chhota, isse chhota yaa baraabar, less-than or equal
≥	baraabar, baraabar hai, baraabri na hona, isse bada, isse bada yaa baraabar
≦	baraabar hone par isse kam, baraabri na hona, mathematics
≧	baraabar hone par isse zyaada, baraabri na hona, mathematics
≪	baraabri na hona, isse kaafi kam, ke comparision mein kaafi kam, mathematics
≫	inequality, isse kaafi zyaada, ke comparision mein kaafi zyaada, mathematics
≬	iske beech
≳	greater-than equivalent, inequality, mathematics
≺	mathematics, pahle aata hai, set operator
≻	baad mein aata hai, mathematics, set operator
⊁	baad mein nahi aata, mathematics, set operator
⊂	iska subset, set, subset
⊃	mathematics, set operator, superset
⊆	subset baraabar
⊇	baraabri hona, mathematics, superset baraabar
⊕	circled plus, plus
⊖	circled minus, erosion, symmetric difference
⊗	circled times, product, tensor
⊙	XNOR, circled dot operator, operator
⊛	asterisk, circled asterisk operator, operator
⊞	addition-like, mathematics, squared plus
⊮	does not force
⊰	mathematics, precedes under relation, set operator
⊱	mathematics, set operator, succeeds under relation
⋭	group theory, mathematics, normal subgroup equal ke taur par nahi, normal subgroup equal ke taur par shaamil nahi karta
⊶	original
⋘	baraabar nahi, inequality, isse bahut kam, mathematics, not equal, very much less-than
⋙	baraabar nahi, inequality, isse bahut zyaada, mathematics, not equal, very much greater-than
⋰	ellipsis, mathematics, up right diagonal ellipsis
⋱	down right diagonal ellipsis, ellipsis, mathematics
■	filled square
□	hollow square
▢	rounded corners wala hollow square
▣	hollow square mein ek filled square
▤	horizontal fill wala square
▥	vertical fill wala square
▦	square orthogonal crosshatch fill
▧	upper left se lower right filled square
▨	upper right se lower left filled square
▩	square diagonal crosshatch fill
▬	filled rectangle
▭	hollow rectangle
▮	filled vertical rectangle
▰	filled parallelogram
▲	Oopar point karta hua filled triangle, arrow, filled, triangle, up
△	hollow up-pointing triangle
▴	filled up-pointing small triangle
▵	hollow up-pointing small triangle
▷	hollow right-pointing triangle
▸	filled right-pointing small triangle
▹	hollow right-pointing small triangle
►	filled right-pointing pointer
▻	hollow right-pointing pointer
▼	arrow, down, filled, neeche point karta hua filled triangle, neeche point karta hua triangle, triangle
▽	hollow down-pointing triangle
▾	filled down-pointing small triangle
▿	hollow down-pointing small triangle
◁	hollow left-pointing triangle
◂	filled left-pointing small triangle
◃	hollow left-pointing small triangle
◄	filled left-pointing pointer
◅	hollow left-pointing pointer
◆	filled diamond
◇	hollow diamond
◈	filled diamond wala hollow diamond, hollow diamond containing filled diamond
◉	circled dot, concentric cicles filled, filled circle wala hollow circle, fisheye, ward
○	circle, hollow circle, ring
◍	vertical fill wala circle
●	circle, filled circle
◐	left se half filled circle
◑	right se half filled circle
◒	neeche se half filled circle
◓	oopar se half filled circle
◔	Circle kaa filled upper right quadrant
◕	upper left quadrant chhodkar filled circle, upper left quadrant ko chhodkar poora filled cirle
◖	half filled left circle, left se half black circle, left se half filled circle
◗	half filled right circle, right se half black circle, right se half filled circle
◙	hollow circle wala filled square, inverse hollow circle
◜	upper left quadrant circular arc
◝	upper right quadrant circular arc
◞	lower right quadrant circular arc
◟	lower left quadrant circular arc
◢	filled lower right triangle
◣	filled lower left triangle
◤	filled upper left triangle
◥	filled upper right triangle
◯	circle, large hollow circle, ring
◳	hollow square upper right quadrant
◷	hollow upper right quadrant wala hollow circle, upper right quadrant wala hollow circle
◿	lower right triangle
♪	eighth, eighth note, music, note
⨧	plus subscript two
⨯	vector cross product
⨼	interior product
⩣	logical yaa double underbar
⩽	less-than slanted equal
⪍	less-than above similar equal
⪚	baraabri na hona, double-line equal greater-than, mathematics
♯	diesis, music, note, sharp
😀	cheerful, grin, grinning, happy, happy face, laugh, laughing, nice
😃	badi aankhon wala grinning face, face, mouth, open, smile
😄	eye, face, mouth, open, smile, smile karti aankhon wala grinning face
😁	eye, face, grin, smile, smile karti aankhon wala beaming face
😆	eyes, grinning, grinning face, haha, hahaha, happy, happy face, laugh, lol, rofl
😅	cold, face, open, smile, sweat, sweating wala grinning face
🤣	funny, haha, happy, hehe, hilarious, joy, laugh, lol, rofl, rolling
😂	face, joy, khushi ke aansoo wala face, laugh, tear
🫠	embarrassed, haha, heat, hot, liquid, lol, melting, sarcasm, sarcastic
😊	blush, eye, face, smile, smiling eyes wala smiling face
😇	angel, blessed, fairy, fairytale, fantasy, halo, happy, innocent, peaceful
🥰	adore, crush, hearts, hearts wala smiling face, in love, smiling face with hearts
😍	eye, face, heart-eyes wala smiling face, love, smile
😘	face, face blowing a kiss, kiss, kiss deta face
😗	143, date, dating, face, flirt, ily, kiss, love, smooch, you
😚	closed, closed eyes wala kissing face, eye, face, kiss
😙	eye, face, kiss, smile, smiling eyes wala kissing face
🥲	aansoo wala smiling face, grateful, proud, relieved, smiling, tear, touched
😋	delicious, face, food enjoy karta face, savouring, smile, yum
😛	face, tongue, tongue dikhaata face
😜	eye, face, joke, tongue, tongue dikhaata winking face, wink
😝	eye, face, horrible, taste, tongue, tongue nikaalta squinting face
🤗	face, hug, hug karta smiling face, hugging, open hands, smiling face
🤭	mouth par haath wala face, whoops
🫢	amazement, awe, disbelief, embarrass, khuli aankhein aur munh par haath, scared, surprise
