‾	akara etiti, akara etiti ala, akara mgbakọ elu
_	akara dị ala, dash, line, low dash, low line, underdash, underline
-	dash, mwepu, njiko, njiko-mwepu
‐	dash, njiko
–	dash, en, en dash
—	dash, em, em dash
―	bar, dash, horizontal bar, line, ogwe dị larịị
・	dots, interpunct, katakana, katakana middle dot, katakana middle kponkwem, middot
,	rikom
،	arabik, comma, rikom arabik
、	ideographic, rikom, rikom di ideographic
;	semicolon
؛	arabic, arabic semicolon, semi-colon, semicolon arabik
:	Kolon
!	akara exclamation, ang, exclamation, exclamation mark, exclamation point
¡	bang, exclamation, exclamation mark, exclamation point, inverted, inverted exclamation mark
?	ajuju, akara ajuju
¿	akara ajuju di inverted, inverted, inverted question mark, question, question mark
؟	ajuju, akara ajuju, akara ajuju arabik, arabic, arabic akara ajuju
‽	akàra ajụjụ
.	dot, kponkwem, mgbe
…	ellipsis, kponkwem, kpọm atọ, omission
。	ideographic, kponkwem, mgbe, mgbe ideographic
·	etiti, etiti kponkwem, interpunct, kponkwem, middot
'	apostrophe, quote, rịkọm elu keedemede, single quote, typewriter apostrophe
‘	apostrophe, left apostrophe, quote, rịkọm elu aka ekpe, single quote, smart quote
’	apostrophe, quote, right apostrophe, rịkọm elu aka nri, single quote, smart quote
‚	apostrophe, low quote, low right apostrophe, quote, rịkọm ala aka nri
“	akara nhota aka ekpe, double quote, left quotation mark, quotation, quote, smart quotation
”	akara nhota aka nri, double quote, quotation, quote, right quotation mark, smart quotation
„	akara nhota ala aka nri, double quote, low quotation, low right quotation mark, quotation, quote, smart quotation
«	angle, brackets, carets, chevron, isi akụ abụọ nke aka ekpe, left, left guillemet, quote
»	angle, brackets, carets, chevron, isi akụ abụọ nke aka nrị, quote, right, right guillemet
)	akara mmechi, bracket, close parenthesis, paren, parens, parenthesis, round bracket
[	akara mmepe sụkwia, bracket, crotchet, open square bracket, square bracket
]	akara mmechi sụkwia, bracket, close square bracket, crotchet, square bracket
{	akara mmepe mgbagọ, brace, bracket, curly brace, curly bracket, gullwing, open curly bracket
}	akara mmechi mgbagọ, brace, bracket, close curly bracket, curly brace, curly bracket, gullwing
〈	angle bracket, bracket, chevron, diamond brackets, open angle bracket, pointy bracket, tuple
〉	angle bracket, bracket, chevron, close angle bracket, diamond brackets, pointy bracket, tuple
《	bracket, double angle bracket, open double angle bracket
》	bracket, close double angle bracket, double angle bracket
「	bracket, corner bracket, open corner bracket
」	bracket, close corner bracket, corner bracket
『	bracket, hollow corner bracket, open hollow corner bracket
』	bracket, close hollow corner bracket, hollow corner bracket
【	bracket, lens bracket, lenticular bracket, open black lens bracket
】	bracket, close black lens bracket, lens bracket, lenticular bracket
〔	bracket, mbe shell bracket, open mbe shell bracket, shell bracket
〕	bracket, close mbe shell bracket, close tortoise shell bracket, mbe shell bracket, shell bracket
〖	bracket, hollow lens bracket, hollow lenticular bracket, open hollow lens bracket
〗	bracket, close hollow lens bracket, hollow lens bracket, hollow lenticular bracket
§	akuku, nkebi, paragraph
¶	akara paragraph, alinea, paragraph, paragraph akara, paraph, pilcrow
@	akara ebe, ampersat, arobase, arroba, at mark, at sign, at-sign, commercial at, strudel
*️	asterisk, onwa, wildcard
/	kewa, oblique, slash, solidus, stroke, virgule, whack
\	backlash, backslash, reverse solidus, whack
&	ampersand, et, na
#️	akara hash, hash, hash sign, hashtag, lb, number, pound
%	pasent, per cent, per-cent, percent
‰	kwa mille, per mil, per mille, permil, permille
†	akara daga, daga, obelisk, obelus
‡	abuo, akara daga abuo, daga, obelisk, obelus
•	dot, mgbọ
‧	dash, hyphenation point, njiko, point
′	prime
″	prime, prime abuo
‴	prime, prime ato
‸	karet
※	akara reference
⁂	akara kpakpando atọ, dinkus, kpakpando
`	accent, grave, grave accent, ụda
´	accent, acute, acute accent, ụda
^	accent, caret, chevron, circumflex, circumflex accent, control, hat, pointer, power, wedge, xor sign
¨	diaeresis, tréma, umlaut
°	digirii, ngosi edemede, oge
℗	copyright, recording, ụda, ụda recording copyright
←	arrow, left, left-pointing arrow
↚	akụ na-atụ aka ekpe
→	arrow, right, right-pointing akụ
↛	akụ na-atụ aka nri
↑	akụ na-atụlị elu, arrow, up, up-pointing arrow
↓	arrow, down, down-pointing akụ, down-pointing arrow
↜	akụ na-efegharị na-atụ aka ekpe
↝	akụ na-efegharị na-atụ aka nri
↞	akụ nwere isi abụo na-atụ aka ekpe
↟	akụ nwere isi abụo na-atụli elu
↠	akụ nwere isi abụo na-atụ aka nri
↡	akụ nwere isi abụo na-atụda ala
↢	akụ nwere ọdụ na-atụ n’aka ekpe
↣	akụ nwere ọdụ na-atụ n’aka nri
↤	akụ aka ekpe sitere na-ahịrị
↥	akụ elu sitere na-ahịrị
↦	akụ aka nri sitere na-ahịrị
↧	akụ ala sitere na-ahịrị
↨	akụ elu na ala nwere ahịrị
↫	akụ aka ekpe nwere okirikiri
↬	akụ aka nri nwere okirikiri
↭	akụ aka nri n’aka ekpe na-efegharị
↯	akụ rịgọ rịgọ n’aga ala, rịgọ rịgọ
↰	akụ n’aga elu gawa aka ekpe
↱	akụ n’aga elu gawa aka nri
↲	akụ n’agbada ala gawa aka ekpe
↳	akụ n’agbada ala gawa aka nri
↴	akụ n’aga n’aka nri gbadawa n’ala
↵	akụ n’agbada n’ala tụgharịa n’aka ekpe
↶	akụ ọkara okirikiri elu na atụgharịa n’aka nri
↷	akụ ọkara okirikiri elu na atụgharịa n’aka ekpe
↸	akụ toro ogologo n’eche ihu ebe ugwu
↹	ahịrị, aka ekpe, aka nri, akụ, akụ aka ekpe n’elu nke aka nri, akụ aka ekpe n’elu nke aka nri nwere ahịrị
↺	akụ okirikiri na atụgharịa n’aka nri
↻	akụ okirikiri na atụgharịa n’aka ekpe
↼	gbagoro, nko aka ekpe gbagoro elu
↽	nko aka ekpe gabdara ala, nko aka ekpe gadara ala
↾	nko, nko aka elu n’aga n’aka nri
↿	nko, nko aka elu n’aga n’aka ekpe
⇀	nko, nko aka nri gbagoro elu
⇁	nko, nko aka nri gbadara ala
⇂	nko, nko gbadara ala n’aga n’aka nri
⇃	nko, nko gbadara ala n’aga n’aka ekpe
⇄	akụ aka nri n’elu nke aka ekpe
⇅	arrow, down, up, up-pointing and down-pointing arrows
⇆	arrow, left, left-pointing over right-pointing arrows, right
⇇	akụ abụo n’aga n’aka ekpe
⇈	akụ abụo n’agbago elu
⇉	akụ abụo n’aga n’aka nri
⇊	akụ abụo n’agbada ala
⇋	nko aka ekpe n’elu nko aka nri
⇌	nko aka nri n’elu nko aka ekpe
⇐	akụ aka ekpe nwere ahịrị abụo
⇍	akụ aka ekpe nwere ahịrị abụo akachiri n’etiti
⇑	akụ n’agbago nwere ahịrị abụo
⇒	akụ aka nri nwere ahịrị abụo
⇏	akụ aka nri nwere ahịrị abụo akachiri n’etiti
⇓	akụ n’agbada ala nwere ahịrị abụo
⇔	akụ ahịrị abụo n’aga ekpe na aka nri
⇎	akụ ahịrị abụo n’aga ekpe na aka nri akachiri n’etiti
⇖	akụ ahịrị abụo n’aga ebe ugwu ndida
⇗	akụ ahịrị abụo n’aga ebe ugwu ọwụwa anyanwụ
⇘	akụ ahịrị abụo n’aga ebe ndida ọwụwa anyanwụ
⇙	akụ ahịrị abụo n’aga ebe ndida anyanwụ
⇚	akụ ahịrị atọ n’aga aka ekpe
⇛	akụ ahịrị atọ n’aga aka ekpe, akụ ahịrị atọ n’aga aka nri
⇜	akụ rịgọrịgọ n’aga aka ekpe
⇝	akụ rịgọrịgọ n’aga aka nri
⇞	akụ n’agbago elu nwere nkachi abụọ
⇟	akụ n’agbada ala nwere nkachi abụọ
⇠	akụ akara ùhiè n’aga aka ekpe
⇡	akụ akara ùhiè n’agbago elu
⇢	akụ akara ùhiè n’aga aka nri
⇣	akụ akara ùhiè n’agbada ala
⇤	ahịrị akụ aka ekpe
⇥	ahịrị akụ aka nri
⇦	akụ aka ekpe nwere oghere
⇧	akụ n’agbago elu nwere oghere
⇨	akụ aka nri nwere oghere
⇩	akụ n’agbada ala nwere oghere
⇪	akụ nwere oghere n’agbago elu si n’ahịrị
⇵	akụ n’agbada ala nke aka ekpe n’agbago elu
∀	enyere, kezuruọha, keọbụla, maka nke niile, nke niile, nke nille
∂	difrensha, ọkara difrensha
∃	enwere
∅	mgbakọ na mwepụ, okpokoro set, opereto set, set ghere oghe
∆	mmụba, triangul
∇	nabla, triangul
∈	contains, element, element nke, element of, membership, set
∉	abụghị element, element
∋	element, nwere ótú
∎	halmos, ili, kegosiri, njedebe ngosi
∏	logik, mpụta, mpụta n-ary
∑	mgbakọ, mgbakọ n-ary, mgbakọ na mwepụ
+	akara igbakota, igbakota, tinye
±	igbakota-mwepu
÷	akara nkewa, kewa, nkewa, obelus
×	otutu, otutu akara
<	pekarịrị
≮	ahaghị, epeghị mpe karịa, mgbakọ na mwepụ
=	nhara
≠	nhaghị nhara
>	karirị, karịrị
≯	ahaghị, ebughị ibu karịa, mgbakọ na mwepụ
¬	mgbagha
|	ahịrị kwụ ọtọ
~	tilde
−	akara mwepu, mwepu
⁻	akara elu, akara elu nwepụ, nwepụ
∓	mgbakwunye-mwepu, mwepu-maọbụ-mgbakwunye
∕	ahịrị, ahịrị nkewa, akara
⁄	akara, akara nkebi
∗	akara kpakpando, kpakpando
∘	mmejupụta, opiretọ, opiretọ òkirikiri
∙	mgbọ, opiretọ mgbọ
√	radical, radix, root, square, surd, sụkwia rụt
∝	hatara, nhata
∞	akara ebiyebi, ebiyebi
∟	akụkụ aka nri, mgbakọ na mwepụ
∠	akụkụ, akụkụ digrii iri anọ n’ise
∣	nkewa, n’ekewa
∥	ahịrị abụọ nọkọtara ọnụ
∧	ac, atque, logik na, nwere nghọta ma, weji
∩	intersection, set
∪	collection, set, union
∫	intija, kakulus
∬	intija abụọ, kakulus
∮	kọntọ intija
∴	logik, ya mere
∵	logik, maka
∶	retio
∷	nhata
∼	opiretọ, opiretọ taid
∽	opiretọ mmeghari, taid
∾	s ntụgharị umengwụ
≃	hatara na ntụgharị, mgbakọ na mwepụ, ntụgharị
≅	congruence, ihe ruru nhata, isomorphism, mgbakọ na mwepụ, nhata, ruru nhata
≈	ofokwa nhara
≌	ha niile hatara, mgbakọ na mwepụ, nhata
≒	ruru nhata onyinyo
≖	mgbakọ na mwepụ, nhata, òkirikiri na nhata
≡	ezigbo ya, kpọmkwem, okpukpu atọ, yiri
≣	hatara kpọmkwem, mgbakọ na mwepụ, nhata
≤	nhara, pekarịrị ma-ọbụ nhara
≥	karịrị ma-ọbụ nha
≦	ahataghị, erughị n’elu hatara, mgbakọ na mwepụ
≧	ahataghị, kariri n’elu hatara, mgbakọ na mwepụ
≪	ahataghị, erughị dị ukwuu, mgbakọ na mwepụ
≫	ahataghị, mgbakọ na mwepụ, nkari dị ukwuu
≬	n’etiti
≳	ahataghị, kariri nhata, mgbakọ na mwepụ
≺	mgbakọ na mwepụ, na-ebute ụzọ, opiretọ set
≻	mgbakọ na mwepụ, na-esote, opiretọ set
⊁	anaghị esote, mgbakọ na mwepụ, opiretọ set
⊂	set, subset, subset of
⊃	mgbakọ na mwepụ, opiretọ set, set dị elu
⊆	set dị ala hatara
⊇	mgbakọ na mwepụ, nhata, set dị elu hatara
⊕	mgbakọ, mgbakọ agbara okirikiri
⊖	mgbawa ala, mwepụ agbara okirikiri, ndi iche
⊗	mmụbaa, mmụbaa agbara okirikiri, tensọ
⊘	akara nkewa agbara okiririri, dika nkewa, mgbakọ na mwepụ
⊙	XNOR, opiretọ, opiretọ ntụpọ agbara okirikiri
⊚	opiretọ òkirikiri agbara okirikiri
⊛	kpakpando, opiretọ, opiretọ kpakpando agbara okirikiri
⊞	dika mgbakọ, mgbakọ na mwepụ, mgbakọ sụkwai
⊟	dika mwepụ, mgbakọ na mwepụ, mwepụ sụkwai
⊥	eet, falsum, tak, tak elu
⊮	adịghị amanye
⊰	bu ụzọ n’okpuru mmekọrịta, mgbakọ na mwepụ, opiretọ set
⊱	mgbakọ na mwepụ, na-esote n’okpuru mmekọrịta, opiretọ set
⋭	enweghị nkịtị ótú okpuru hatara, mgbakọ na mwepụ, tiori ótú
⊶	nke ezi
⊹	hermitian conjugate matrix, mgbakọ na mwepụ, self-adjoint matrix, sụkwai matrix
⊿	mgbakọ na mwepụ, triangle aka nri, triangle akụkụ aka nri
⋁	disjunction, lojik, n-ary lojik maọbụ
⋂	intersection, mgbakọ na mwepụ, n-ary intersection, opiretọ set
⋃	mgbakọ na mwepụ, n-ary union, opiretọ set, union
⋅	opiretọ, opiretọ ntụpọ
⋆	opiretọ, opiretọ kpakpando
⋈	bowtie, njikọ okike, opiretọ binary
⋒	intersection, intersection abụọ, mgbakọ na mwepụ, opiretọ set
⋘	ahataghị, erughị ma ọli, mgbakọ na mwepụ
⋙	ahataghị, kariri nke ukwuu, mgbakọ na mwepụ
⋮	ellipsis, ellipsis kwụ ọtọ, mgbakọ na mwepụ
⋯	ellipsis, ellipsis etiti dara ada
⋰	ellipsis, ellipsis elu dafere n’akuku aka nri, mgbakọ na mwepụ
⋱	ellipsis, ellipsis ala dafere n’akuku aka nri, mgbakọ na mwepụ
■	skwya emejuru emeju
□	skwya ghere oghe
▢	skwya ghere oghe nwere akụkụ okirikiri
▣	skwya ghere oghe nwere skwya emejuru emeju
▤	skwya nwere mmeju ahịrị dara ada
▥	skwya nwere mmeju ahịrị kwụ ọtọ
▦	skwya emejuru orthogonal crosshatch
▧	skwya emejuru elu aka ekpe ala aka nri
▨	skwya emejuru elu aka nri ala aka ekpe
▩	skwya emejuru n’akuku crosshatch
▬	rectangle emejuru
▭	rectangle ghere oghe
▮	rectangle ahịrị kwụ ọtọ emejuru
▰	parallelogram emejuru
