‾	linea in alto, linea sopra, sopralineatura
_	lineetta, sottolineatura, trattino, trattino basso
-	lineetta, meno, trattino, trattino-segno meno
‐	lineetta, trattino
–	corto, trattino, trattino corto
—	lungo, trattino, trattino lungo
―	barra, barra orizzontale, linea, lineetta
・	katakana, punti, punto centrale, punto mediano katakana
,	virgola
،	araba, virgola, virgola araba
、	ideografica, virgola, virgola ideografica
;	punto, punto e virgola, virgola
؛	arabo, punto, punto e virgola, punto e virgola arabo, virgola
:	due punti
!	esclamazione, punto di esclamazione, punto esclamativo
¡	al contrario, capovolto, esclamazione, punto di esclamazione, punto esclamativo, punto esclamativo al contrario
?	domanda, punto interrogativo
¿	al contrario, domanda, punto interrogativo, punto interrogativo al contrario
؟	arabo, domanda, punto interrogativo, punto interrogativo arabo
‽	punto esclarrogativo
.	punto
…	omissione, puntini, puntini di sospensione
。	ideografico, punto, punto ideografico
·	centrato, mediano, punto, punto mediano, segno di interpunzione
'	singola, virgoletta, virgoletta dritta
‘	apostrofo, virgoletta a sinistra, virgolette, virgolette inglesi, virgolette singole
’	apostrofo, virgoletta a destra, virgolette, virgolette inglesi, virgolette singole
‚	bassa, virgoletta, virgoletta bassa a destra
“	doppie, virgolette, virgolette a sinistra, virgolette inglesi
”	doppie, virgolette, virgolette a destra, virgolette inglesi
„	basse, doppie, virgolette, virgolette basse a destra, virgolette inglesi
«	apertura, caporali, francesi, parentesi, virgolette, virgolette basse aperte, virgolette basse doppie aperte
»	caporali, chiusura, francesi, parentesi, virgolette, virgolette basse chiuse, virgolette basse doppie chiuse
)	parentesi, parentesi di chiusura, tonda
[	parentesi, parentesi quadra aperta, quadra
]	parentesi, parentesi quadra chiusa, quadra
{	aperta, parentesi graffa, parentesi graffa aperta
}	chiusa, parentesi graffa, parentesi graffa chiusa
〈	chevron, parentesi a diamante, parentesi a punta, parentesi angolare, parentesi angolare aperta, tupla
〉	chevron, parentesi a diamante, parentesi a punta, parentesi angolare, parentesi angolare chiusa, tupla
《	parentesi, parentesi angolare doppia, parentesi angolare doppia aperta
》	parentesi, parentesi angolare doppia, parentesi angolare doppia chiusa
「	mezza parentesi, mezza parentesi quadra aperta in alto, parentesi
」	mezza parentesi, mezza parentesi quadra chiusa in basso, parentesi
『	mezza parentesi quadra vuota aperta in alto, mezza parentesi vuota, parentesi
』	mezza parentesi quadra vuota chiusa in basso, mezza parentesi vuota, parentesi
【	parentesi, parentesi lenticolare, parentesi lenticolare piena aperta
】	parentesi, parentesi lenticolare, parentesi lenticolare piena chiusa
〔	parentesi, parentesi quadra spezzata, parentesi quadra spezzata aperta, spezzata
〕	parentesi, parentesi quadra spezzata, parentesi quadra spezzata chiusa, spezzata
〖	parentesi lenticolare vuota, parentesi lenticolare vuota aperta, parentsi
〗	chiusa, parentesi lenticolare vota chiusa, parentesi lenticolare vuota
§	paragrafo, parte, sezione, simbolo di sezione
¶	alinea, paragrafo, piede di mosca, simbolo di paragrafo
@	a commerciale, chiocciola, chiocciolina, simbolo della chiocciola, strudel
*️	asterisco, carattere jolly, simbolo dell’asterisco, stella
