‾	ۇستىڭگى سىزىق
_	تومەن سىزىق
-	مينۋس تاڭباسى
‐	سىزىقشا
–	سىزىقشا, قىسقا, قىسقا سىزىقشا
—	سىزىقشا, ۇزىن, ۇزىن سىزىقشا
―	كولدەنەڭ جولاق
・	كاتاكانا ينتەرپۋنكتى
,	ءۇتىر
،	اراب ءۇتىرى
、	يدەوگرافيالىق ءۇتىر
;	نۇكتەلى ءۇتىر
؛	اراب نۇكتەلى ءۇتىرى
:	قوس نۇكتە
!	لەپتىك بەلگىسى
¡	توڭكەرىلگەن لەپتىك بەلگىسى
?	سۇراق, سۇراق بەلگىسى
¿	توڭكەرىلگەن سۇراق بەلگىسى
؟	اراب سۇراق بەلگىسى
‽	ينتەرروباڭ
.	نۇكتە
…	كوپ نۇكتە
。	يدەوگرافيالىق نۇكتە
·	نۇكتە, ورتاڭعى, ينتەرپۋنكت
'	تيپوگرافيالىق اپوستروف
‘	اپوستروف, تىرناقشا, دارا تىرناقشا, سول اپوستروف
’	وڭ اپوستروف
‚	تومەنگى وڭ اپوستروف
“	تىرناقشا, تىرناقشا بەلگىسى, سول جاق تىرناقشا بەلگىسى, قوسارلى تىرناقشا
”	تىرناقشا, تىرناقشا بەلگىسى, قوسارلى تىرناقشا, وڭ جاق تىرناقشا بەلگىسى
„	تومەنگى تىرناقشا, تومەنگى سول جاق تىرناقشا بەلگىسى, تومەنگى وڭ جاق تىرناقشا بەلگىسى, تىرناقشا, تىرناقشا بەلگىسى, قوسارلى تىرناقشا
«	بۇرىش, تىرناقشا, جاقشالار, دايەكسوز, سول جاق, سول جاق تىرناقشا, ەنگىزۋ بەلگىسى
»	بۇرىش, تىرناقشا, جاقشالار, دايەكسوز, وڭ جاق, وڭ جاق تىرناقشا, ەنگىزۋ بەلگىسى
)	وڭ جاقشا
[	تىك جاقشا, جاقشا, سول جاق تىك جاقشا
]	تىك جاقشا, جاقشا, وڭ جاق تىك جاقشا
{	جاقشا, سول جاق فيگۋرالىق جاقشا, فيگۋرالىق جاقشا
}	جاقشا, فيگۋرالىق جاقشا, وڭ جاق فيگۋرالىق جاقشا
〈	بۇرىشتىق جاقشا, جاقشا, سول جاق بۇرىشتىق جاقشا
〉	بۇرىشتىق جاقشا, جاقشا, وڭ جاق بۇرىشتىق جاقشا
《	جاقشا, سول جاق قوسارلى بۇرىشتىق جاقشا, قوسارلى بۇرىشتىق جاقشا
》	جاقشا, قوسارلى بۇرىشتىق جاقشا, وڭ جاق قوسارلى بۇرىشتىق جاقشا
「	تىك بۇرىشتى جاقشا, جاقشا, سول جاق تىك بۇرىشتى جاقشا
」	تىك بۇرىشتى جاقشا, جاقشا, وڭ جاق تىك بۇرىشتى جاقشا
『	جاقشا, سول جاق قوسارلى تىك بۇرىشتى جاقشا, قوسارلى تىك بۇرىشتى جاقشا
』	جاقشا, قوسارلى تىك بۇرىشتى جاقشا, وڭ جاق قوسارلى تىك بۇرىشتى جاقشا
【	جاقشا, دوڭەس جاقشا, قارا ءتۇستى سول جاق دوڭەس جاقشا
】	جاقشا, دوڭەس جاقشا, قارا ءتۇستى وڭ جاق دوڭەس جاقشا
〔	جاقشا, سول جاق قالىڭ دوڭگەلەك جاقشا, قالىڭ دوڭگەلەك جاقشا
〕	جاقشا, قالىڭ دوڭگەلەك جاقشا, وڭ جاق قالىڭ دوڭگەلەك جاقشا
〖	تىك بۇرىشتى دوڭەس جاقشا, جاقشا, سول جاق تىك بۇرىشتى دوڭەس جاقشا
〗	تىك بۇرىشتى دوڭەس جاقشا, جاقشا, وڭ جاق تىك بۇرىشتى دوڭەس جاقشا
§	ءبولىم, بولىك, پاراگراف, پاراگراف بەلگىسى
¶	ابزاس بەلگىسى
@	ايقۇلاق بەلگىسى
*️	جۇلدىزشا
/	قيعاش سىزىق
\	كەرى قيعاش سىزىق
&	امپەرساند
#️	تور بەلگىسى
%	پايىز
‰	پروميلە
†	ايقارشىق, سىلتەمە, سىلتەمە بەلگىسى, كرەست
‡	ايقارشىق, سىلتەمە, قوس, قوس سىلتەمە بەلگىسى, كرەست
•	جۋان بەلگى, نۇكتە
‧	ءسوز تاسىمالداۋ نۇكتەسى
′	شتريح
″	قوس شتريح
‴	ءۇش شتريح
‸	كارەت
※	باقىلاۋ بەلگىسى
⁂	ءۇش جۇلدىزشا
`	قاتاڭ ەكپىن
´	اكۋت ەكپىن
^	تۇرلەنگەن ەكپىن
¨	ديارەسيس
°	دارەجە, دالەل, ساعات
℗	اۆتورلىق قۇقىق, جازۋ, دىبىس, دىبىس جازۋ اۆتورلىق قۇقىعى
←	سول, سول باعىتتى كورسەتكى, كورسەتكى
↚	سول جاق كورسەتكىسى بار شتريح
→	كورسەتكى, وڭ, وڭ باعىتتى كورسەتكى
↛	وڭ جاق كورسەتكىسى بار شتريح
↑	جوعارى, جوعارى باعىتتى كورسەتكى, كورسەتكى
↓	تومەن, تومەن باعىتتى كورسەتكى, كورسەتكى
↜	سول جاق يرەك كورسەتكى
↝	وڭ جاق يرەك كورسەتكى
↞	قوس باستى سول جاق كورسەتكى
↟	قوس باستى جوعارى كورسەتكى
↠	قوس باستى وڭ جاق كورسەتكى
↡	قوس باستى تومەن كورسەتكى
↢	سول جاق قۇيرىقتى كورسەتكى
↣	وڭ جاق قۇيرىقتى كورسەتكى
↤	سىزىقشادان سولعا قاراي باعىتتالعان كورسەتكى
↥	سىزىقشادان جوعارى قاراي باعىتتالعان كورسەتكى
↦	سىزىقشادان وڭعا قاراي باعىتتالعان كورسەتكى
↧	سىزىقشادان تومەن قاراي باعىتتالعان كورسەتكى
↨	استىندا سىزىقشاسى بار جوعارى جانە تومەن كورسەتكى
↫	سول جاق ىلمەكتى كورسەتكى
↬	وڭ جاق ىلمەكتى كورسەتكى
↭	سول جانە وڭ جاق يرەك كورسەتكى
↯	تومەنگە باعىتتالعان ءيىر كورسەتكى
↰	باسى جوعارى جانە سولعا قاراي باعىتتالعان كورسەتكى
↱	باسى جوعارى جانە وڭعا قاراي باعىتتالعان كورسەتكى
↲	باسى تومەن جانە سولعا قاراي باعىتتالعان كورسەتكى
↳	باسى تومەن جانە وڭعا قاراي باعىتتالعان كورسەتكى
↴	وڭعا جانە تومەن باعىتتالعان بۇرىشتىق كورسەتكى
↵	تومەن جانە سولعا باعىتتالعان بۇرىشتىق كورسەتكى
↶	شەڭبەردىڭ جوعارعى جارتى بولىگى تۇرىندەگى ساعات تىلىنە قارسى باعىتتاعى كورسەتكى
↷	شەڭبەردىڭ جوعارعى جارتى بولىگى تۇرىندەگى ساعات ءتىلى باعىتىنداعى كورسەتكى
↸	ۇستىندە ۇزىن سىزىقشاسى بار سولتۇستىك-باتىس باعىتتاعى كورسەتكى
↹	وڭ جاعىندا سىزىقشاسى بار وڭ جاق كورسەتكىنىڭ ۇستىندەگى سول جاعىندا سىزىقشاسى بار سول جاق كورسەتكى
↺	ساعات تىلىنە قارسى باعىتتاعى اشىق شەڭبەرلى كورسەتكى
↻	ساعات ءتىلى باعىتىنداعى اشىق شەڭبەرلى كورسەتكى
↼	جوعارعى جاعىندا كەرتىگى بار سول جاق سۇڭگى
↽	تومەنگى جاعىندا كەرتىگى بار سول جاق سۇڭگى
↾	وڭ جاعىندا كەرتىگى بار جوعارى سۇڭگى
↿	سول جاعىندا كەرتىگى بار جوعارى سۇڭگى
⇀	جوعارعى جاعىندا كەرتىگى بار وڭ جاق سۇڭگى
⇁	تومەنگى جاعىندا كەرتىگى بار وڭ جاق سۇڭگى
⇂	وڭ جاعىندا كەرتىگى بار تومەن سۇڭگى
⇃	سول جاعىندا كەرتىگى بار تومەن سۇڭگى
⇄	سول جاق كورسەتكىنىڭ ۇستىندەگى وڭ جاق كورسەتكى
⇅	تومەن, جوعارى, جوعارى جانە تومەن باعىتتى كورسەتكىلەر, كورسەتكى
⇆	سول جاق, كورسەتكى, وڭ باعىتتى كورسەتكىلەر ۇستىندەگى سول باعىتتى كورسەتكىلەر, وڭ جاق
⇇	ەكى سول جاق كورسەتكى
⇈	ەكى جوعارى كورسەتكى
⇉	ەكى وڭ جاق كورسەتكى
