,	bêhnok, vîrgul
،	erebî, vîrgul, vîrgula erebî
、	vîrgul, vîrgula îdeografîk, îdeografîk
;	niqtebihnok, niqtebêhnok
§	beş, nîşana beşê, paragraf, qism
†	kama, nîşan, nîşana kamayê, obelisk, xaç
‡	nîşana kamayê ya cot
🧒	zarok
👧	keç
🧑	kes
👨	mêr
👩	jin
🐵	meymûn, rû, rûyê meymûnê
🐒	heywan, meymûn
🦍	gorîl, heywan
🐶	heywan, kûçik, rû, rûyê kûçikê
🐕️	heywan, kûçik
🐺	gur
🦊	rovî
🐈️	pisîk
🦁	şêr
🫏	ker
🐎	hesp
🦓	zebra
🐂	ga
🐄	çêl
🐖	beraz
🐏	beran
🐑	mih
🐐	bizin
🐪	hêştir
🦙	lama
🐘	fîl
🐁	mişk
🐻	hirç
🐼	panda
🦃	elok
🐔	mirîşk
🐓	dîk
🐸	beq
🐢	kûsî
🐍	mar
🐟️	masî
🍇	fêkî, tirî
🍉	fêkî, zebeş
🍋	lîmon
🍌	fêkî, mûz
🥭	mango
🍎	fêkî, sor, sêv, sêva sor
🍏	fêkî, kesk, sêv, sêva kesk
🍐	fêkî, hirmî
🍑	fêkî, xox
🍒	gêraz
🍅	firengî, riwek, sebze
🥥	giwêza hindê
🥑	avokado, fêkî, xwarin
🍆	balîcan, sebze
🥔	kartol
🇦🇨	ala, ala: Girava Ascensionê
🇦🇩	ala, ala: Andorra
🇦🇪	ala, ala: Mîrgehên Erebî yên Yekbûyî
🇦🇫	ala, ala: Efxanistan
🇦🇬	ala, ala: Antîgua û Berbûda
🇦🇮	ala, ala: Anguîla
🇦🇱	ala, ala: Albanya
🇦🇲	ala, ala: Ermenistan
🇦🇴	ala, ala: Angola
🇦🇶	ala, ala: Antarktîka
🇦🇷	ala, ala: Arjantîn
🇦🇸	ala, ala: Samoaya Amerîkanî
🇦🇹	ala, ala: Awistirya
🇦🇺	ala, ala: Awistralya
🇦🇼	ala, ala: Arûba
🇦🇽	ala, ala: Giravên Alandê
🇦🇿	ala, ala: Azerbeycan
🇧🇦	ala, ala: Bosna û Hersek
🇧🇧	ala, ala: Barbados
🇧🇩	ala, ala: Bengladeş
🇧🇪	ala, ala: Belçîka
🇧🇫	ala, ala: Burkîna Faso
🇧🇬	ala, ala: Bulgaristan
🇧🇭	ala, ala: Behreyn
🇧🇮	ala, ala: Bûrûndî
🇧🇯	ala, ala: Bênîn
🇧🇱	ala, ala: Saint Barthelemy
🇧🇲	ala, ala: Bermûda
🇧🇳	ala, ala: Brûney
🇧🇴	ala, ala: Bolîvya
🇧🇶	ala, ala: Holendaya Karayîbê
🇧🇷	ala, ala: Brezîlya
🇧🇸	ala, ala: Bahama
🇧🇹	ala, ala: Bûtan
🇧🇻	ala, ala: Girava Bouvetê
🇧🇼	ala, ala: Botswana
🇧🇾	ala, ala: Belarûs
🇧🇿	ala, ala: Belîze
🇨🇦	ala, ala: Kanada
🇨🇨	ala, ala: Giravên Kokosê (Keeling)
🇨🇩	ala, ala: Kongo - Kînşasa
🇨🇫	ala, ala: Komara Afrîkaya Navîn
🇨🇬	ala, ala: Kongo - Brazzaville
🇨🇭	ala, ala: Swîsre
🇨🇮	ala, ala: Côte d’Ivoire
🇨🇰	ala, ala: Giravên Cookê
🇨🇱	ala, ala: Şîle
🇨🇲	ala, ala: Kamerûn
🇨🇳	ala, ala: Çîn
🇨🇴	ala, ala: Kolombîya
🇨🇵	ala, ala: Girava Clippertonê
🇨🇶	ala, ala: Sark
🇨🇷	ala, ala: Kosta Rîka
🇨🇺	ala, ala: Kuba
🇨🇻	ala, ala: Kap Verde
🇨🇼	ala, ala: Curaçao
🇨🇽	ala, ala: Girava Christmasê
🇨🇾	ala, ala: Qibris
🇨🇿	ala, ala: Çekya
🇩🇪	ala, ala: Almanya
🇩🇬	ala, ala: Diego Garcia
🇩🇯	ala, ala: Cîbûtî
🇩🇰	ala, ala: Danîmarka
🇩🇲	ala, ala: Domînîka
🇩🇴	ala, ala: Komara Domînîkê
🇩🇿	ala, ala: Cezayîr
🇪🇦	ala, ala: Ceuta û Melîla
🇪🇨	ala, ala: Ekwador
🇪🇪	ala, ala: Estonya
🇪🇬	ala, ala: Misir
🇪🇭	ala, ala: Sahraya Rojava
🇪🇷	ala, ala: Erître
🇪🇸	ala, ala: Spanya
🇪🇹	ala, ala: Etîyopya
🇪🇺	ala, ala: Yekîtîya Ewropayê
🇫🇮	ala, ala: Fînlenda
🇫🇯	ala, ala: Fîjî
🇫🇰	ala, ala: Giravên Falklandê
🇫🇲	ala, ala: Mîkronezya
🇫🇴	ala, ala: Giravên Faroeyê
🇫🇷	ala, ala: Fransa
🇬🇦	ala, ala: Gabon
🇬🇧	ala, ala: Qiralîyeta Yekbûyî
🇬🇩	ala, ala: Grenada
🇬🇪	ala, ala: Gurcistan
🇬🇫	ala, ala: Guyanaya Fransî
🇬🇬	ala, ala: Guernsey
🇬🇭	ala, ala: Gana
🇬🇮	ala, ala: Cebelîtariq
🇬🇱	ala, ala: Grînlanda
🇬🇲	ala, ala: Gambîya
🇬🇳	ala, ala: Gîne
🇬🇵	ala, ala: Guadeloupe
🇬🇶	ala, ala: Gîneya Ekwadorê
🇬🇷	ala, ala: Yûnanistan
🇬🇸	ala, ala: Giravên Georgîyaya Başûr û Sandwicha Başûr
🇬🇹	ala, ala: Guatemala
🇬🇺	ala, ala: Guam
🇬🇼	ala, ala: Gîne-Bissau
🇬🇾	ala, ala: Guyana
🇭🇰	ala, ala: Hong Konga HîT ya Çînê
🇭🇲	ala, ala: Giravên Heard û MacDonaldê
🇭🇳	ala, ala: Hondûras
🇭🇷	ala, ala: Xirwatistan
🇭🇹	ala, ala: Haîtî
🇭🇺	ala, ala: Macaristan
🇮🇨	ala, ala: Giravên Kanaryayê
🇮🇩	ala, ala: Endonezya
🇮🇪	ala, ala: Îrlanda
🇮🇱	ala, ala: Îsraîl
🇮🇲	ala, ala: Girava Manê
🇮🇳	ala, ala: Hindistan
