‾	pārsvītrojums, vinkuls, virssvītrojums
_	defise, līnija, pasvītra, pasvītrojums, zemsvītra
-	defise, mīnuszīme, pārnesumzīme
‐	defise, pārnesumzīme
–	svītra, vienotājzīme
—	domuzīme, svītra
―	defise, domuzīme, horizontāla līnija, līnija
・	atdalītājpunkts, interpunkts, katakana, katakanas atdalītājpunkts, punkti
,	komats
،	arābu, arābu komats, komats
、	ideogrāfija, ideogrāfisks komats, komats
;	semikols
؛	arābu, arābu semikols, semikols
:	kols
!	izsaucējs, izsaukuma zīme, izsaukumzīme
¡	apgriezta, apgriezta izsaukuma zīme, izsaukuma zīme, izsaukums
?	jautājums, jautājumzīme
¿	apgriezta jautājuma zīme, apvērsta, jautājuma zīme, jautājums
؟	arābu, arābu jautājuma zīme, jautājuma zīme, jautājums
‽	interobangs
.	punkts
…	aprauts teksts, daudzpunkte, elipse
。	ideogrāfija, ideogrāfisks punkts, punkts
·	punkts, vidus, viduspunkts
'	apostrofs, pēdiņa, taisnais apostrofs, vienpēdiņa
‘	apostrofs, kreisais apostrofs, pēdiņa, viedā pēdiņa, vienpēdiņa
’	apostrofs, labais apostrofs, pēdiņa, viedā pēdiņa, vienpēdiņa
‚	apakšējais labais apostrofs, apakšējā pēdiņa, apostrofs, pēdiņa
“	citēšana, dubultpēdiņa, kreisā pēdiņa, pēdiņa, viedā pēdiņa
”	citēšana, dubultpēdiņa, labā pēdiņa, pēdiņa, viedā pēdiņa
„	apakšējā labā pēdiņa, apakšējā pēdiņa, citēšana, dubultpēdiņa, pēdiņa, viedā pēdiņa
«	iekavas, jumtiņi, kreisais, kreisās stūra pēdiņas, leņķis, pēdiņas, stūra pēdiņas
»	iekavas, jumtiņi, labais, labās stūra pēdiņas, leņķis, pēdiņas, stūra pēdiņas
)	aizverošā iekava, apaļās iekavas, iekava, iekavas, pusiekava, pusiekavas
[	atverošā kvadrātiekava, kvadrātiekava, kvadrātiekavas
]	aizverošā kvadrātiekava, kvadrātiekava, kvadrātiekavas
{	atverošā figūriekava, figūriekava, figūriekavas, iekava, iekavas
}	aizverošā figūriekava, figūriekava, figūriekavas, iekava, iekavas
〈	atverošā leņķiekava, iekava, iekavas, leņķiekava, leņķiekavas, leņķis
〉	aizverošā leņķiekava, iekava, iekavas, leņķiekava, leņķiekavas, leņķis
《	atverošā dubultā leņķiekava, dubultā leņķiekava, iekava
》	aizverošā dubultā leņķiekava, dubultā leņķiekava, iekava
「	atverošā stūriekava, iekava, stūriekava
」	aizverošā stūriekava, iekava, stūriekava
『	atverošā baltā stūriekava, baltā stūriekava, iekava
』	aizverošā baltā stūriekava, baltā stūriekava, iekava
【	atverošā melnā lēcveida iekava, iekava, lēcas veida iekava, lēcveida iekava
】	aizverošā melnā lēcveida iekava, iekava, lēcas veida iekava, lēcveida iekava
〔	atverošā īpašā japāņu iekava, iekava, japāņu iekavas, īpašās japāņu iekavas
〕	aizverošā īpašā japāņu iekava, iekava, japāņu iekavas, īpašās japāņu iekavas
〖	atverošā baltā lēcveida iekava, baltā lēcas veida iekava, baltā lēcveida iekava, iekava
〗	aizverošā baltā lēcveida iekava, baltā lēcas veida iekava, baltā lēcveida iekava, iekava
§	daļa, paragrāfa zīme, paragrāfs, sadaļa
¶	rindkopa, rindkopas atzīme
@	@ zīme, et, et zīme, komerc-a, komerciālais a
*️	aizstājējzīme, zvaigzne, zvaigznīte
/	slīpsvītra, uz priekšu vērsta slīpsvītra
\	atpakaļvērsta slīpsvītra, atpakaļvērstā slīpsvītra
&	& zīme, ampersands, un
#️	jaucēj-, jaukšana, restīte, skaits, tēmturis
%	procenti, procentu zīme
‰	promile, promiles
†	duncis, dunča zīme, krustiņš
‡	divi, divu dunču zīme, duncis, krustiņš
•	aizzīme, punkts
‧	defise, punkts, pārnešana, pārnešanas punkts
′	prim, prim zīme
″	divkārša prim zīme, prim zīmes
‴	prim zīmes, trīskārša prim zīme
‸	jumtiņa zīme, jumtiņš
※	atsauces zīme
⁂	asterisms, dinkus, zvaigznītes
`	gravis, tonis, uzsvars
´	akūts, tonis, uzsvars
^	jauda, jumtiņš, kāsītis, leņķis, rādītājs, uzsvars, vadīkla
¨	dierēze, umlauts
°	grāds, pakāpe, stunda
℗	autortiesības, ieraksts, skaņa, skaņu ieraksta autortiesības
←	bultiņa, kreisā, pa kreisi vērsta bultiņa
↚	pārsvītrota kreisā bultiņa
→	bultiņa, labā, pa labi vērsta bultiņa
↛	pārsvītrota labā bultiņa
↑	augšup, augšupvērsta bultiņa, bultiņa
↓	bultiņa, lejup, lejupvērsta bultiņa
↜	viļņota kreisā bultiņa
↝	viļņota labā bultiņa
↞	kreisā bultiņa ar dubultu smaili
↟	augšupvērsta bultiņa ar dubultu smaili
↠	labā bultiņa ar dubultu smaili
↡	lejupvērsta bultiņa ar dubultu smaili
↢	kreisā bultiņa ar asti
↣	labā bultiņa ar asti
↤	kreisā bultiņa no svītras
↥	augšupvērsta bultiņa no svītras
↦	labā bultiņa no svītras
↧	lejupvērsta bultiņa no svītras
↨	augšupvērsta bultiņa ar pamatni
↫	kreisā bultiņa ar cilpu
↬	labā bultiņa ar cilpu
↭	kreisā-labā viļņotā bultiņa
↯	lejupvērsta zigzaga bultiņa
↰	augšup un pa kreisi vērsta bultiņa
↱	augšup un pa labi vērsta bultiņa
↲	lejup un pa kreisi vērsta bultiņa
↳	lejup un pa labi vērsta bultiņa
↴	labā bultiņa norāda lejup
↵	lejupvērsta bultiņa norāda pa kreisi
↶	pusloka bultiņa pretēji pulksteņrādītāja kustības virzienam
↷	pusloka bultiņa pulksteņrādītāja kustības virzienā
↸	uz ZR vērsta bultiņa ar garu svītru
↹	kreisā bultiņa ar svītru virs labās bultiņas ar svītru
↺	atvērta apļa bultiņa pretēji pulksteņrādītāja kustības virzienam
↻	atvērta apļa bultiņa pulksteņrādītāja kustības virzienā
↼	augšupvērsta kreisā harpūna ar atkarpi
↽	lejupvērsta kreisā harpūna ar atkarpi
↾	augšupvērsta labā harpūna ar atkarpi
↿	augšupvērsta harpūna ar atkarpi pa kreisi
⇀	labā harpūna ar atkarpi uz augšu
⇁	labā harpūna ar atkarpi uz leju
⇂	lejupvērsta harpūna ar atkarpi pa labi
⇃	lejupvērsta harpūna ar atkarpi pa kreisi
⇄	labā bultiņa virs kreisās bultiņas
⇅	augšup, augšupvērsta bultiņa un lejupvērsta bultiņa, bultiņa, lejup
⇆	bultiņa, kreisā, kreisā bultiņa virs labās bultiņas, labā, pa kreisi vērsta bultiņa virs pa labi vērstas bultiņas
⇇	kreiso bultiņu pāris
⇈	augšupvērsto bultiņu pāris
⇉	labo bultiņu pāris
⇊	lejupvērsto bultiņu pāris
⇋	kreisā harpūna virs labās harpūnas
⇌	labā harpūna virs kreisās harpūnas
⇐	kreisā dubultbultiņa
⇍	pārsvītrota kreisā dubultbultiņa
⇑	augšupvērsta dubultbultiņa
⇒	labā dubultbultiņa
⇏	pārsvītrota labā dubultbultiņa
⇓	lejupvērsta dubultbultiņa
