‾	overstrek
_	understrek
-	bindestrek-minus-tegn
‐	bindestrek
–	bindestreker, en-dash, halvgefirt, tankestrek
—	bindestreker, em-dash, gefirt, lang tankestrek
―	strek, vannrett strek
・	bindestrek, interpunkt, katakana, midtstilt prikk i katakana, prikk, punkt
,	komma
،	arabisk komma, komma
、	ideografisk komma, komma
;	semikolon
؛	arabisk semikolon, semikolon
:	kolon
!	utropstegn
¡	opp-ned utropstegn, utropstegn
?	spørsmål, spørsmålstegn
¿	opp-ned spørsmålstegn, spørsmål, spørsmålstegn
؟	arabisk spørsmålstegn, spørsmål, spørsmålstegn
‽	interrobang
.	punktum
…	ellipse, tre prikker, utelatelse
。	ideografisk punktum, punktum
·	interpunkt, midtstilt punkt, punkt mellom ord, sentrert punkt
'	apostrof, enkelt rett anførselstegn, rett apostrof, sitattegn
‘	enkelt krøllet venstre anførselstegn, sitattegn, smart anførselstegn, start sitat
’	apostrof, enkelt krøllet høyre anførselstegn, sitat slutt, sitattegn, smart anførselstegn, typografisk apostrof
‚	enkelt krøllet lavt venstre anførselstegn, sitattegn, smart anførselstegn, start sitat
“	dobbelt krøllet venstre anførselstegn, sitattegn, smart anførselstegn, start sitat
”	dobbelt krøllet høyre anførselstegn, sitat slutt, sitattegn, smart anførselstegn
„	dobbelt krøllet lavt venstre anførselstegn, sitattegn, smart anførselstegn, start sitat
«	anførselstegn, hermetegn, sitat start, sitattegn, sjevron, venstre anførselstegn
»	anførselstegn, hermetegn, høyre anførselstegn, sitat slutt, sitattegn, sjevron
)	bueparentes, høyre parentes, parentes, sluttparentes
[	firkantparentes, klammeparentes, parentes, startparentes, venstre hakeparentes
]	firkantparentes, høyre hakeparentes, klammeparentes, parentes, sluttparentes
{	klammeparentes, krøllparentes, parentes, startparentes, venstre krøllparentes
}	høyre krøllparentes, klammeparentes, krøllparentes, parentes, sluttparentes
〈	parentes, spissparentes, startparentes, venstre vinkelparentes, vinkelparentes
〉	høyre vinkelparentes, parentes, sluttparentes, spissparentes, vinkelparentes
《	dobbelparentes, parentes, spissparentes, startparentes, venstre dobbel vinkelparentes, vinkelparentes
》	dobbelparentes, høyre dobbel vinkelparentes, parentes, sluttparentes, spissparentes, vinkelparentes
「	hjørneparentes, parentes, startparentes, venstre hjørneparentes
」	hjørneparentes, høyre hjørneparentes, parentes, sluttparentes
『	hjørneparentes, hul parentes, parentes, startparentes, venstre hul hjørneparentes
』	hjørneparentes, hul parentes, høyre hul hjørneparentes, parentes, sluttparentes
【	fylt parentes, linseparentes, parentes, startparentes, svart parentes, venstre fylt linseparentes
】	fylt parentes, høyre fylt linseparentes, linseparentes, parentes, sluttparentes, svart parentes
〔	parentes, skillpaddeskall, skillpaddeskallparentes, startparentes, venstre skilpaddeparentes
〕	høyre skilpaddeparentes, parentes, skillpaddeskall, skillpaddeskallparentes, sluttparentes
〖	hul parentes, linseparentes, parentes, startparentes, venstre hul linseparentes
〗	hul parentes, høyre hul linseparentes, linseparentes, parentes, sluttparentes
§	avsnittstegn, del, paragraf, paragraftegn, signum sectionis
¶	avsnittstegn
@	alfakrøll, at-tegn, krøllalfa
*️	asterisk, jokertegn, stjerne
/	skråstrek, slash
\	backslash, bakstrek, omvendt skråstrek
&	ampersand, et, et-tegn, og, og-tegn
#️	emneknagg, firkant, hashtagg, nummertegn, skigard
%	prosent, prosenttegn
‰	promille, promilletegn
†	kors, korstegn, latinsk kors
‡	dobbelt kors, dobbeltkorstegn
•	prikk, punkt, punktliste, punkttegn
‧	bindestrek, interpunkt, prikk, punkt, stavelsesmerke
′	primtegn
″	dobbelt primtegn
‴	trippelt primtegn
‸	innsettingstegn
※	referansemerke
⁂	asterisme, stjerner
`	aksent, gravis, tonem, trykk, venstreaksent
´	aksent, akutt, akutt aksent, høyreaksent, tonem, trykk
^	aksent, circumfleks, tonem
¨	omlyd, trema, tødler
°	alkoholinnhold, grader, gradetegn, timer
℗	copyright, lydopptak, opphavsrett for lydopptak
←	pil mot venstre, pil venstre, retning, venstre, venstrepil, vest
↚	pil, pil venstre med skråstrek, skråstrek, venstre
→	høyre, høyrepil, pil høyre, pil mot høyre, retning, øst
↛	høyre, pil, pil høyre med skråstrek, skråstrek
↑	nord, opp, oppover, oppoverpil, pil opp, pil oppover, retning
↓	ned, nedover, nedoverpil, pil ned, pil nedover, retning, sør
↜	bølge, bølgepil mot venstre, pil, venstre
↝	bølge, bølgepil mot høyre, høyre, pil
↞	mothaker, pil, pil venstre med to mothaker, to, venstre
↟	mothaker, opp, pil, pil opp med to mothaker, to
↠	høyre, mothaker, pil, pil høyre med to mothaker, to
↡	mothaker, ned, pil, pil ned med to mothaker, to
↢	pil, pil venstre med styrefjær, styrefjær, venstre
↣	høyre, pil, pil høyre med styrefjær, styrefjær
↤	fra, loddrett, pil, pil venstre fra loddrett strek, strek, venstre
↥	fra, opp, pil, pil opp fra vannrett strek, strek, vannrett
↦	fra, høyre, loddrett, pil, pil høyre fra loddrett strek, strek
↧	fra, ned, pil, pil ned fra vannrett strek, strek, vannrett
↨	base, med, ned, opp, pil, pil opp og ned med underlag, underlag
↫	løkke, pil, pil venstre med løkke, venstre
↬	høyre, løkke, pil, pil høyre med løkke
↭	bølge, bølgepil mot høyre og venstre, høyre, pil, toveis, venstre
↯	ned, pil, sikksakk, sikksakkpil nedover
↰	opp, pil, pil opp med spiss mot venstre, spiss, venstre, vinkel
↱	høyre, opp, pil, pil opp med spiss mot høyre, spiss, vinkel
↲	ned, pil, pil ned med spiss mot venstre, spiss, venstre, vinkel
↳	høyre, ned, pil, pil ned med spiss mot høyre, spiss, vinkel
↴	hjørne, høyre, ned, pil, pil høyre som snur ned, snur
↵	hjørne, ned, pil, pil ned som snur mot venstre, snur, venstre
↶	halvsirkelpil, halvsirkelpil mot klokken, klokken, mot
↷	halvsirkelpil, halvsirkelpil med klokken, klokken, med
↸	mot, nordvest, over, pil, pil mot nordvest med strek over, strek
↹	høyre, pil, pil venstre over pil høyre mot loddrette streker, strek, venstre
↺	pil åpen sirkel mot klokken
↻	pil åpen sirkel med klokken
↼	harpunpil venstre med mothake opp
↽	harpunpil venstre med mothake ned
↾	harpunpil opp med mothake mot høyre
↿	harpunpil opp med mothake mot venstre
⇀	harpunpil høyre med mothake opp
⇁	harpunpil høyre med mothake ned
⇂	harpunpil ned med mothake mot høyre
⇃	harpunpil ned med mothake mot venstre
⇄	pil høyre over pil venstre
⇅	hver vei, nord-sør, opp og ned, opp-ned, pil oppover foran pil nedover, piler
⇆	frem og tilbake, hver vei, pil mot venstre over pil mot høyre, piler, venstre-høyre, øst-vest
⇇	parallelle piler mot venstre
⇈	parallelle piler opp
⇉	parallelle piler mot høyre
⇊	parallelle piler ned
⇋	harpunpil venstre over harpunpil høyre
⇌	harpunpil høyre over harpunpil venstre
⇐	dobbeltpil venstre
⇍	dobbeltpil venstre med strek
⇑	dobbeltpil opp
⇒	dobbel, dobbeltpil høyre, høyre, pil
⇏	dobbel, dobbeltpil høyre med strek, høyre, pil, strek
⇓	dobbeltpil ned
⇔	dobbel, dobbeltpil begge veier, høyre, pil, toveis, venstre
⇎	dobbel, dobbeltpil begge veier med strek, høyre, pil, strek, toveis, venstre
⇖	dobbeltpil nordvest
⇗	dobbeltpil nordøst
⇘	dobbeltpil sørøst
⇙	dobbeltpil sørvest
⇚	trippelpil venstre
⇛	trippelpil høyre
⇜	snirkelpil venstre
⇝	snirkelpil høyre
⇞	pil opp med to streker
⇟	pil ned med to streker
⇠	stiplet pil venstre
⇡	stiplet pil opp
⇢	stiplet pil høyre
⇣	stiplet pil ned
⇤	pil venstre mot loddrett strek
⇥	pil høyre mot loddrett strek
⇦	hul pil venstre
⇧	hul pil opp
⇨	hul pil høyre
⇩	hul pil ned
⇪	hul pil opp fra vannrett strek
⇵	dobbel, ned, opp, pil, pil ned til venstre for pil opp, toveis
∀	alle, allkvantor, for alle
∂	derivasjon, partiell derivert, partiellderivert
∃	det eksisterer, det finnes, det fins, eksistenskvantor
∅	den tomme mengden, matematikk, matte, mengdeoperator, settoperator
∆	dekrement, delta, inkrement, matematisk endring, matematiske tegn, trekant
∇	matematiske tegn, nabla, trekant, triangel, vektorfelt, vektoroperator
∈	element i, elementsymbol, matematiske tegn, mengdelære
∉	element, er ikke element i
∋	element, inneholder, inneholder som medlem, medlem, som
∎	q.e.d, qed, slutt på bevis
∏	logikk, matte, produkt, produkt av n faktorer, produkttegn
∑	matte, sum, sum av n ledd, summering
+	addere, legge til, pluss, plusstegn
±	pluss/minus
÷	dele, deletegn, dividere, divisjon, divisjonstegn, matematiske tegn
×	gange, gangetegn, matematiske tegn, multiplikasjon, multiplikasjonstegn, multiplisere
<	er mindre enn, mindre enn, starttagg, ulikhet
≮	er ikke mindre enn, matte, ulikhet
=	er lik, likhetstegn
≠	er ikke lik, ulikhet, ulikhetstegn
>	endetagg, er større enn, større enn, ulikhet
≯	er ikke større enn, matte, ulikhet
¬	ikke, negasjon
|	loddrett strek, strek
~	tilde
−	minus, minustegn, subtrahere, trekke fra
⁻	hevet, hevet minustegn, ion, matematiske tegn, minus, negativ ladning
∓	minus-eller-pluss, minus-pluss, pluss-minus
∕	skråstrek, skråstrek for divisjon
⁄	skråstrek, skråstrek for brøk
∗	asterisk, asteriskoperator, operator, stjerne
∘	komposisjon, operator, ringoperator
∙	operator, punktoperator
√	kvadratrot, kvadratrottegn, matematiske tegn
∝	er proporsjonal med, proporsjonalitet
∞	matematiske tegn, uendelig, uendelighetstegn
∟	matte, rett vinkel
∠	matte, spiss, vinkel
∣	divisor, er delelig med
∥	parallell
∧	logikk, logisk konjunksjon, logisk og, og
∩	matematiske tegn, mengdelære, snitt, snittegn
∪	forening, matematiske tegn, mengdelære, union, uniontegn
∫	integral, kalkulus, matematisk analyse
∬	dobbel, dobbelt integral, integral, kalkulus
∮	konturintegral
∴	derfor, logikk
∵	fordi, logikk
∶	forhold
∷	proporsjon, proporsjonalitet
∼	operator, tildeoperator
∽	omvendt, omvendt tilde, tilde
∾	speilvendt liggende s
≃	asymptote, asymptotisk lik, matte
≅	isomorf, kongruens, likhet, matte, tilnærmet lik
≈	avrundes til, er tilnærmet lik
≌	kongruent, likhet, matte
≒	tilnærmet lik bildet
