😀	Ktze’n Palajaj, ktze’nik, palajaj
😃	Tze’naq palajaj uk’ab’om uchi’, palajaj, tza’maj, tze’nem, utorik
😄	Ktze’n palajaj uk’ab’om uchi’ chi’l ktze’n b’aq’wachaj, baq’wach, palajaj, tza’maj, tze’nem, utorik
😁	Ktze’n palajaj ruk’ ktze’n b’aq’wachaj, b’aqwach, ktze’nik, palajaj, tze’nem
😆	Ktze’n palajaj uk’ab’om uchi’ chi’l utzapim b’aq’wachaj, chi’aj, nim tze’nem, palajaj, torom, tze’nem, utz ub’anom
😅	Ktze’n palajaj uk’ab’om uchi’ chi’l joron uwa’l wachaj, k’atanal, palajaj, tew, torom, tze’nem
🤣	Sib’alaj tze’naq, palajaj, tze’nem, ub’olq’otixik, uwach ulew
😂	Palajaj Ruk’ Uwal Wachaj rech Ki’kotemal, ki’kotemal, nim tze’nem, palajaj, uwal wachaj
🙂	Tze’naq palajaj, palajaj, tze’nem
🙃	Xulan uwi’ palajaj, palajaj, xulan uwi’
😉	Utz’apim ub’aqwach palajaj, palajaj, yupwachinem
😊	Tze’naq palajaj porotz’ ub’aqwach, b’aqwachaj, kaqarinaqq, palajaj, tze’nem
😇	Tze’naq me’s ruk’ setesik pa ujolom, man kok ta il, man tzij taj, palajaj, setesik pa ujolom, tyox, tze’nem, tzijob’elil chi kij adas
😍	Tze’naq palajaj ruk’ anima’ chi ub’aqwach, b’aqwachaj, loq’ob’al, palajaj, tze’nem
🤩	b’aqwachaj, ch’umil, ktze’nik, palajaj, uriqom k’ax
😘	Palajaj kuwupuj jun Chi’aj, palajaj, tz’umanik
😗	Palajaj ruk’ tz’umanik, palajaj, tz’umanik
☺️	palajaj, tze’nem, tz’ajom, uxlanaq
😚	Palajaj ruk’ tz’umanik Utz’apim uwach, b’aq’wachaj, palajaj, tzapitalik, tz’umanik
😙	Palajaj ruk’ Tz’umanik Tz’enaq ub’aqwach, b’aq’wachaj, palajaj, tze’nem, tz’umanik
😋	Palajaj ktajin Kuki’risaj Je’l riki’l, ktajin uan’ik, k’ok’, mmm, palajaj, tze’nem, um
😛	Palajaj ruk’ Relesam Raq, aq’, palajaj
😜	aq’, b’aqwachaj, palajaj, palajaj ruk’ relesam raq’ chi’l uyupwachim uwach, yaktze’, yupwachinik
🤪	b’aqwach, nim, nitz’, pay palajaj
😝	aq’, b’aqwachaj, il, nab’al, palajaj, palajaj ruk’ relesam raq’ chi’l utz’apim uwach
🤑	Palajaj ruk’ pwaq, chi’aj, palajaj, pwaq
🤗	Umatzexik Palajaj, ktjin umatzexik, palajaj, umatzexik
🤭	palajaj uch’uqum uchi’, raki’kotem
🤫	matzalem, matzalem palajaj, umatzab’axik
🤔	Chomanik palajaj, ktajin kchomanik, palajaj
🤐	Palajaj sierayim uchi’, Sierrayim, chi’aj, palajaj
🤨	man q’alaj taj, man q’alb’al k’’u’x taj, palajaj ruk’ paqab’isam rij uwach
😐️	Suk’ul palajaj, palajaj, suk’ulik, tzaqinaq uk’u’x
