‾	надчеркивание
_	андерскор, нижний пробел, подчеркивание, символ подчеркивания
-	вычитание, дефис, дефис-минус, минус, тире
‐	дефис, тире, черточка
–	среднее, среднее тире, тире
—	длинное, длинное тире, тире
―	горизонтальная линия, горизонтальная полоса, линия, тире
・	интерпункт, интерпункт катаканы, катакана, средняя точка, точки
,	запятая
،	арабская, арабская запятая, запятая
、	запятая, идеографическая, идеографическая запятая
;	запятая, точка, точка с запятой
؛	арабская, арабская точка с запятой, точка с запятой
:	двоеточие
!	восклицание, восклицательный, восклицательный знак, знак
¡	восклицание, восклицательный знак, перевернутый, перевернутый восклицательный знак
?	вопрос, вопросительный, вопросительный знак, знак, знак вопроса
¿	вопрос, вопросительный знак, знак вопроса, перевернутый, перевернутый вопросительный знак
؟	арабский, арабский вопросительный знак, вопрос, вопросительный знак, знак вопроса
‽	интерробанг
.	конец, точка
…	многоточие, отточие, точки
。	идеографическая точка, точка
·	интерпункт, средняя, точка
'	апостроф, кавычка, машинописный апостроф, одинарная кавычка
‘	апостроф, кавычка, одинарная кавычка, открывающая, открывающая одинарная кавычка
’	апостроф, закрывающая, закрывающая одинарная кавычка, кавычка, одинарная кавычка
‚	апостроф, закрывающая кавычка, кавычка, нижняя закрывающая одинарная кавычка, нижняя кавычка, одинарная кавычка
“	двойная кавычка, кавычка, открывающая двойная кавычка, открывающая кавычка
”	двойная кавычка, закрывающая двойная кавычка, закрывающая кавычка, кавычка
„	двойная кавычка, закрывающая кавычка, кавычка, нижняя закрывающая двойная кавычка, нижняя кавычка
«	влево, елочка, елочки, знак вставки, кавычки, открывающая французская кавычка, шеврон
»	вправо, елочка, елочки, закрывающая французская кавычка, знак вставки, кавычки, шеврон
)	закрывающая скобка, круглая скобка, скобка
[	квадратная скобка, открывающая квадратная скобка, открывающая скобка, скобка
]	закрывающая квадратная скобка, закрывающая скобка, квадратная скобка, скобка
{	открывающая скобка, открывающая фигурная скобка, скобка, фигурная скобка
}	закрывающая скобка, закрывающая фигурная скобка, скобка, фигурная скобка
〈	открывающая скобка, открывающая угловая скобка, скобка, угловая скобка
〉	закрывающая скобка, закрывающая угловая скобка, скобка, угловая скобка
《	двойная угловая скобка, открывающая двойная угловая скобка, открывающая скобка, скобка, угловая скобка
》	двойная угловая скобка, закрывающая двойная угловая скобка, закрывающая скобка, скобка, угловая скобка
「	открывающая прямоугольная скобка, открывающая скобка, прямоугольная скобка, скобка
」	закрывающая прямоугольная скобка, закрывающая скобка, прямоугольная скобка, скобка
『	открывающая незакрашенная прямоугольная скобка, открывающая скобка, прямоугольная скобка, скобка
』	закрывающая незакрашенная прямоугольная скобка, закрывающая скобка, прямоугольная скобка, скобка
【	линзовая скобка, линзовидная скобка, открывающая закрашенная линзовидная скобка, открывающая скобка, скобка
】	закрывающая закрашенная линзовидная скобка, закрывающая скобка, линзовая скобка, линзовидная скобка, скобка
〔	открывающая скобка, открывающая черепашья скобка, скобка, черепашья скобка
〕	закрывающая скобка, закрывающая черепашья скобка, скобка, черепашья скобка
〖	линзовая скобка, линзовидная скобка, открывающая незакрашенная линзовидная скобка, открывающая скобка, скобка
〗	закрывающая незакрашенная линзовидная скобка, закрывающая скобка, линзовая скобка, линзовидная скобка, скобка
§	параграф, пункт, раздел
¶	абзац, знак, знак абзаца, пилкроу
@	коммерческое at, коммерческое эт, собака, собачка
*️	астериск, звезда, звездочка
/	косая, косая черта, слэш, черта
\	бэкслэш, косая, обратная, обратная косая черта, черта
&	амперсанд, и
#️	знак решетки, номер, октоторп, решетка, фунт, хеш, хэш
%	процент, сотая доля
‰	миллионная доля, промилле
†	даггер, крестик, обелиск, типографский крестик
‡	даггер, двойной, двойной крестик, крестик, обелиск
•	маркер, маркер пункта, маркер пункта в списке, пункт, пункт в списке, пункт списка
‧	дефис, перенос, точка, точка переноса
′	прим, штрих
″	двойной, двойной штрих, прим, штрих
‴	прим, тройной, тройной штрих, штрих
‸	знак вставки, карет
※	знак, знак сноски, сноска
⁂	астеризм, три звездочки
`	гравис, ударение
´	акут, ударение
^	домик, исключающее или, карет, крышечка, оператор, циркумфлекс
¨	диерезис, трема, умлаут, умляут
°	градус, крепость, угол
℗	авторские права, авторское право, авторское право на музыку, запись, копирайт, музыка
←	налево, стрелка, стрелка «налево»
↚	перечеркнутая стрелка влево
→	направо, стрелка, стрелка «направо»
↛	перечеркнутая стрелка вправо
↑	кверху, стрелка, стрелка «кверху»
↓	книзу, стрелка, стрелка «книзу»
↜	волнистая стрелка влево
↝	волнистая стрелка вправо
↞	стрелка влево с двумя наконечниками
↟	стрелка вверх с двумя наконечниками
↠	стрелка вправо с двумя наконечниками
↡	стрелка вниз с двумя наконечниками
↢	стрелка влево с хвостом
↣	стрелка вправо с хвостом
↤	стрелка влево из вертикальной черты
↥	стрелка вверх из вертикальной черты
↦	стрелка вправо из вертикальной черты
↧	стрелка вниз из вертикальной черты
↨	стрелка вверх и вниз от планки внизу
↫	стрелка влево с петлей
↬	стрелка вправо с петлей
↭	волнистая стрелка вправо-влево
↯	зигзагообразная стрелка вниз
