‾	ᱚᱵᱷᱟᱨ ᱞᱟᱹᱭᱤᱱ
‽	ᱤᱱᱴᱟᱨᱚᱵᱮᱝᱜᱽ
‸	ᱠᱮᱨᱮᱴ
⁂	ᱟᱥᱴᱟᱨᱤᱡᱽᱢ
😀	ᱞᱟᱱᱫᱟ, ᱞᱟᱱᱫᱟ ᱪᱮᱦᱨᱟ, ᱢᱚᱲᱟ, ᱤᱥᱤᱲ
😃	ᱢᱟᱨᱟᱝ ᱢᱮᱫ ᱥᱟᱞᱟᱜ ᱢᱩᱞᱩᱡ ᱞᱟᱱᱫᱟ
😄	ᱢᱚᱲᱟ ᱤᱥᱤᱲ ᱠᱟᱫ ᱛᱮ ᱞᱟᱱᱫᱟᱮᱫ ᱞᱮᱠᱷᱟ ᱢᱮᱫ
😁	ᱤᱥᱤᱲ ᱢᱚᱪᱟ
😆	ᱞᱟᱱᱫᱟ ᱢᱚᱪᱟ
😅	ᱩᱫᱽᱜᱟᱹᱨ ᱥᱟᱶᱛᱮ ᱰᱟᱴᱟ ᱤᱥᱤᱲ ᱢᱚᱲᱟ
🤣	ᱞᱟᱱᱫᱟ ᱜᱩᱲᱫᱟᱹᱣ
😂	ᱢᱚᱡᱽ ᱢᱚᱲᱟ
🙂	ᱱᱟᱥᱮ ᱞᱟᱱᱫᱟᱮᱫ ᱞᱮᱠᱷᱟ ᱪᱮᱦᱨᱟ
🙃	ᱩᱞᱴᱟᱹ ᱪᱮᱦᱨᱟ
🫠	ᱛᱚᱨᱲᱟᱣ ᱢᱚᱲᱟ
😉	ᱵᱤᱱᱰᱩᱡ ᱢᱚᱲᱟ
😊	ᱞᱟᱸᱫᱟ ᱢᱚᱲᱟ ᱥᱟᱶ ᱞᱟᱸᱫᱟ ᱢᱮᱫ
😇	ᱦᱟᱞᱚ ᱥᱟᱶᱛᱮ ᱞᱟᱱᱫᱟᱮᱫ ᱢᱚᱲᱟ
🥰	ᱫᱩᱞᱟᱹᱲ ᱞᱟᱱᱫᱟ
😍	ᱞᱟᱱᱫᱟ ᱢᱚᱲᱟ ᱥᱟᱶᱛᱮ ᱫᱩᱞᱟᱹᱲ ᱢᱮᱫ
🤩	ᱤᱯᱤᱞ ᱢᱚᱲᱟ
😘	ᱪᱚᱜᱮᱫ ᱢᱚᱲᱟ
😗	ᱪᱚᱜ ᱢᱚᱲᱟ
☺️	ᱞᱟᱱᱫᱟᱮᱫ ᱢᱚᱲᱟ
😚	ᱢᱮᱫ ᱵᱚᱸᱫ ᱠᱟᱛᱮ ᱪᱚᱜ
😙	ᱪᱚᱜ ᱢᱚᱲᱟ ᱠᱟᱱᱟ
🥲	ᱢᱮᱫ ᱫᱟᱜ ᱡᱚᱨᱚ ᱢᱚᱲᱟ
😋	ᱢᱚᱡᱽ ᱡᱚᱢ
😛	ᱢᱚᱲᱟ ᱥᱟᱞᱟᱜ ᱟᱞᱟᱝ
😜	ᱟᱞᱟᱝ ᱥᱟᱞᱟᱜ ᱢᱚᱲᱟ ᱵᱤᱱᱰᱩᱡ
🤪	ᱯᱟᱜᱽᱞᱟ ᱢᱚᱲᱟ
😝	ᱟᱞᱟᱝ ᱟᱨ ᱵᱟᱱᱴᱷᱤᱠ
🤑	ᱯᱩᱭᱥᱟᱹ ᱢᱚᱪᱟ ᱢᱚᱲᱟ
🤗	ᱠᱷᱩᱞᱟᱹᱛᱤ ᱛᱮ ᱞᱟᱱᱫᱟᱮᱫ ᱢᱚᱲᱟ
🤭	ᱢᱚᱪᱟ ᱨᱮ ᱛᱤ ᱫᱚᱦᱚ
🫢	ᱢᱩᱸ ᱨᱮ ᱛᱤ ᱫᱚᱦᱚ ᱟᱨ ᱠᱷᱩᱞᱟᱹ ᱢᱮᱫ ᱞᱮᱠᱷᱟ
🫣	ᱢᱮᱫ ᱛᱮ ᱩᱭᱩᱝᱮᱫ ᱢᱚᱲᱟ
🤫	ᱪᱩᱯ ᱢᱚᱲᱟ
🤔	ᱵᱤᱪᱟᱹᱨ ᱢᱚᱲᱟ
🫡	ᱥᱮᱞᱭᱩᱴ ᱢᱚᱲᱟ
🤐	ᱢᱚᱲᱟ ᱡᱤᱯ
🤨	ᱢᱚᱲᱟ ᱨᱮ ᱢᱮᱫ ᱠᱩᱴᱤ ᱩᱵ ᱛᱩᱞ ᱠᱟᱱᱟ
😐️	ᱛᱟᱞᱟᱢᱟᱞᱤ ᱢᱚᱲᱟ
😑	ᱥᱩᱱ ᱞᱟᱹᱭᱯᱟᱥᱱᱟᱣ ᱢᱚᱲᱟ
😶	ᱵᱤᱱ ᱢᱚᱪᱟ ᱢᱚᱲᱟ
🫥	ᱰᱚᱴ ᱞᱟᱭᱤᱱ ᱢᱚᱲᱟ
😶‍🌫	ᱢᱚᱲᱟ ᱨᱮ ᱨᱤᱢᱤᱞ
😏	ᱞᱟᱱᱫᱟ ᱢᱚᱲᱟ
😒	ᱵᱮᱠᱷᱟᱛᱤᱨ ᱢᱚᱲᱟ
🙄	ᱜᱩᱰᱨᱟᱹᱣ ᱢᱮᱫ ᱠᱩᱴᱤ ᱢᱚᱲᱟ
😬	ᱤᱥᱤᱲ ᱢᱚᱲᱟ
😮‍💨	ᱦᱟᱣᱟ ᱚᱰᱚᱠ ᱢᱚᱲᱟ
🤥	ᱮᱲᱮ ᱢᱚᱲᱟ
🫨	ᱨᱩᱠᱩ ᱢᱚᱲᱟ
😌	ᱚᱪᱤᱱᱛᱟᱹ ᱢᱚᱲᱟ
😔	ᱪᱤᱱᱛᱟᱹ ᱢᱚᱲᱟ
😪	ᱡᱟᱹᱯᱤᱫ ᱢᱚᱲᱟ
🤤	ᱩᱞᱤ ᱫᱟᱜ ᱢᱚᱲᱟ
😴	ᱜᱤᱛᱤᱡ ᱢᱚᱲᱟ
😷	ᱢᱮᱰᱤᱠᱟᱞ ᱢᱟᱥᱠ ᱢᱚᱲᱟ
🤒	ᱢᱚᱲᱟ ᱥᱟᱞᱟᱜ ᱛᱷᱚᱨᱢᱚᱢᱤᱴᱚᱨ
🤕	ᱵᱮᱱᱰᱮᱡ ᱥᱟᱞᱟᱜ ᱛᱮ ᱢᱚᱲᱟ
🤢	ᱩᱞᱟᱹ ᱢᱚᱲᱟ
🤮	ᱩᱞᱟᱹᱮᱫ ᱢᱚᱲᱟ
🤧	ᱪᱷᱩᱨ ᱢᱚᱲᱟ
🥵	ᱜᱚᱨᱚᱢ ᱢᱚᱲᱟ
🥶	ᱨᱟᱵᱟᱝ ᱢᱚᱲᱟ
🥴	ᱟᱹᱰᱤ ᱢᱚᱡᱽ ᱢᱚᱲᱟ
😵	ᱛᱤᱨᱪᱷᱟᱹ ᱢᱚᱲᱟ
😵‍💫	ᱜᱷᱩᱨᱟᱹᱣ ᱢᱮᱫ ᱢᱚᱲᱟ
🤯	ᱵᱚᱦᱚᱜ ᱚᱴᱚᱡᱚᱜ
🤠	ᱰᱟᱹᱝᱜᱽᱨᱤ ᱜᱩᱯᱤ ᱜᱤᱫᱽᱨᱟᱹ ᱴᱩᱯᱤ
🥳	ᱥᱚᱲᱮ ᱢᱚᱲᱟ
🥸	ᱢᱚᱲᱟ
🤡	ᱡᱚᱠᱚᱨ ᱢᱚᱲᱟ
👻	ᱵᱷᱩᱛ
😺	ᱯᱩᱥᱤ ᱤᱥᱤᱲ ᱠᱟᱫᱟᱭ
💌	ᱫᱩᱞᱟᱹᱲᱤᱭᱟᱹ ᱪᱤᱴᱷᱤ
💕	ᱵᱟᱨᱭᱟ ᱨᱤᱫᱟᱹᱭ
💋	ᱪᱚᱜ ᱪᱤᱱᱦᱟᱹ
💯	ᱥᱟᱭ ᱯᱚᱮᱱᱴᱥ
💢	ᱨᱟᱹᱜᱤ ᱪᱤᱱᱦᱟᱹ
💥	ᱚᱴᱮᱡ
💦	ᱩᱫᱽᱜᱟᱹᱨ ᱡᱚᱨᱚ
🕳️	ᱵᱷᱩᱜᱟᱹᱜ
💬	ᱨᱚᱲ ᱵᱮᱞᱩᱱ
👁‍🗨	ᱨᱮᱲ ᱢᱮᱫ ᱨᱤᱢᱤᱞ
🗨️	ᱞᱮᱝᱜᱟ ᱨᱚᱲ ᱨᱤᱢᱤᱞ
🗯️	ᱡᱚᱡᱚᱢ ᱨᱟᱹᱜᱤ ᱨᱤᱢᱤᱞ
💭	ᱩᱭᱦᱟᱹᱨ ᱯᱷᱩᱠᱟᱹ
💤	ᱡᱟᱹᱯᱤᱫ
👋	ᱛᱤ, ᱛᱤ ᱦᱩᱨᱞᱟᱹ, ᱦᱩᱨᱞᱟ.
