‾	vizë lart, vizë përmbi
_	vijë, vijë e ulët, vijë poshtë, vizë, vizë poshtë
-	ndarje minus, ndarëse, vijë ndarëse, vizë
‐	ndarje, vijë ndarëse, vizë
–	e mesme, vizë, vizë e mesme
—	e gjatë, vizë, vizë e gjatë
―	shirit, shirit horizontal, vizë
・	katakana, pika, pikë mesi, pikë mesi katakana, pikë ndërmjetëse
,	presje
،	arabe, presje, presje arabe
、	ideografike, presje, presje ideografike
;	pikëpresje
؛	arabe, dy pika arabe, pikëpresje arabe
:	dy pika
!	pikëçuditje, vini re, çudi
¡	bam, habi, pikëçuditëse, pikëçuditëse përmbys, përmbys
?	pikëpyetje, shenja e pikëpyetjes
¿	pikëpyetje, pikëpyetje përmbys, pyetje, përmbys
؟	arabe, pikëpyetje, pikëpyetje arabe, pyetje
‽	pikëpyetje me pikëçuditje
.	pikë, pikë fundore
…	mungesë, shumë pika, tre pika
。	ideografike, pikë, pikë fundore, pikë ideografike
·	mes, pikë, pikë mesi, pikë ndërmjetëse
'	apostrof, apostrof makine shkrimi, thonjëz, thonjëz njëshe
‘	apostrof, apostrof i majtë, thonjëz, thonjëz e harkuar, thonjëz njëshe
’	apostrof, apostrof i djathtë, thonjëz, thonjëz e harkuar, thonjëz njëshe
‚	apostrof, apostrof i djathtë i ulët, thonjëz, thonjëz e ulët
“	citim, citim me thonjëza të harkuara, thonjëz, thonjëz dyshe, thonjëz e majtë
”	citim, citim me thonjëza të harkuara, thonjëz, thonjëz dyshe, thonjëz e djathtë
„	citim, thonjëz, thonjëz dyshe, thonjëz e djathtë e ulët, thonjëz e harkuar, thonjëz e ulët
«	shenjë citimi, shirit grade, thonjëza të majta
»	shenjë citimi, shirit grade, thonjëza të djathta
)	kllapë, kllapë lakore, kllapë mbyllëse
[	kllapë, kllapë e madhe, kllapë hapëse e madhe
]	kllapë, kllapë e madhe, kllapë mbyllëse e madhe
{	kllapë, kllapë gjarpërushe, kllapë hapëse gjarpërushe
}	kllapë, kllapë gjarpërushe, kllapë mbyllëse gjarpërushe
〈	kllapë, kllapë hapëse këndore, kllapë këndore
〉	kllapë, kllapë këndore, kllapë mbyllëse këndore
《	kllapë, kllapë hapëse këndore dyshe, kllapë këndore dyshe
》	kllapë, kllapë këndore dyshe, kllapë mbyllëse këndore dyshe
「	kllapë hapëse këndi, kllapë mbyllëse këndi
」	kllapë, kllapë këndi, kllapë mbyllëse këndi
『	kllapë, kllapë hapëse këndi e zgavërt, kllapë këndi e zgavërt
』	kllapë, kllapë këndi e zgavërt, kllapë mbyllëse këndi e zgavërt
【	kllapë, kllapë hapëse thjerrë e zezë, kllapë thjerrë
】	kllapë, kllapë mbyllëse thjerrë e zezë, kllapë thjerrë
〔	kllapë, kllapë hapëse lakore, kllapë lakore
〕	kllapë, kllapë lakore, kllapë mbyllëse lakore
〖	kllapë, kllapë hapëse thjerrë e zgavërt, kllapë thjerrë e zgavërt
〗	kllapë, kllapë mbyllëse thjerrë e zgavërt, kllapë thjerrë e zgavërt
§	paragraf, pjesë, seksion, shenja e paragrafit
¶	paragraf
@	shenja at, shenja tregtare
*️	yll, yllth
/	fraksion, pjerrët, thyesë
\	fraksion mbrapsht, thyesë mbrapsht
&	dhe, e, edhe
#️	diezis, thurje
%	për qind, përqind
‰	për mijë, përmijë
†	kamë, obelisk, obelus, shenja e kamës
‡	dyshe, kamë, obelisk, obelus, shenja e kamës dyshe
•	pikë, pikë liste
‧	ndarëse, pikë, pikë ndarëse, vizë
′	prim
″	dy prim, prim
‴	prim, prim i trefishtë
‸	shenja e shkrimit
※	shenjë reference
⁂	yje, yjësi
`	apostrof mbrapsht, theks, ton
´	theks, theks i fortë, ton
^	hundore, kapelë, kllapë këndore, theks hundor, tregues
¨	dierezë, dy pika lart
°	gradë, orë, provë
℗	e drejta e autorit, e drejta e autorit për regjistrim zanor, regjistrim, zë
←	majtas, shigjetë, shigjetë me drejtim majtas
↚	shigjetë majtas fraksion
→	djathtas, shigjetë, shigjetë me drejtim djathtas
↛	shigjetë djathtas fraksion, shigjetë djtathtas fraksion
↑	lart, shigjetë, shigjetë me drejtim lart
↓	poshtë, shigjetë, shigjetë me drejtim poshtë
↜	shigjetë majtas e valëzuar
↝	shigjetë djathtas e valëzuar
↞	shigjetë dymajëshe majtas
↟	shigjetë dymajëshe lart
↠	shigjetë dymajëshe djathtas
↡	shigjetë dymajëshe poshtë
↢	shigjetë majtas me bisht
↣	shigjetë djathtas me bisht
↤	shigjetë majtas me shufër
↥	shigjetë lart me shufër
↦	shigjetë djathtas me shufër
↧	shigjetë poshtë me shifër, shigjetë poshtë me shufër
↨	shigjetë lart-poshtë me bazament
↫	shigjetë majtas me lak
↬	shigjetë djathtas me lak
↭	shigjetë e valëzuar majtas-djathtas
↯	shigjetë zigzage poshtë, zigzage
↰	shigjetë lart me majë majtas
↱	shigjetë lart me majë djathtas
↲	shigjetë poshtë me majë majtas
↳	shigjetë poshtë me majë djathtas
↴	shigjetë djathtas me kënd poshtë
↵	shigjetë poshtë me kënd majtas
↶	shigjetë gjysmëhark lart me drejtim kundërorar
↷	shigjetë gjysmëhark lart me drejtim orar
↸	shigjetë veriperëndim me tra të gjatë
↹	shigjetë majtas me shufër mbi shigjetë djathtas me shufër
↺	shigjetë rrethhapur me drejtim kundërorar
↻	shigjetë rrethhapur me drejtim orar
↼	fuzhnjë majtas me grep lart, grep
↽	fuzhnjë majtas me grep poshtë
↾	fuzhnjë lart me grep djathtas, grep
↿	fuzhnjë lart me grep majtas, grep
⇀	fuzhnjë djathtas me grep lart, grep
⇁	fuzhnjë djathtas me grep poshtë, grep
⇂	fuzhnjë poshtë me grep djathtas, grep
⇃	fuzhnjë poshtë me grep majtas, grep
⇄	shigjetë djathtas mbi shigjetë majtas
⇅	lart, poshtë, shigjeta me drejtim lart dhe me drejtim poshtë, shigjetë
⇆	djathtas, majtas, shigjeta me drejtim majtas mbi me drejtim djathtas, shigjetë
⇇	shigjeta dyshe majtas
⇈	shigjeta dyshe lart
⇉	shigjeta dyshe djathtas
⇊	shigjeta dyshe poshtë
⇋	fuzhnjë majtas mbi fuzhnjë djathtas
⇌	fuzhnjë djathtas mbi fuzhnjë majtas
⇐	shigjetë dyshe majtas
⇍	shigjetë dyshe majtas me fraksion
⇑	shigjetë dyshe lart
⇒	shigjetë dyshe djathtas
⇏	shigjetë dyshe djathtas me fraksion
⇓	shigjetë dyshe poshtë
⇔	shigjetë dyshe majtas-djathtas
⇎	shigjetë dyshe majtas-djathtas me fraksion
⇖	shigjetë dyshe veriperëndim
⇗	shigjetë dyshe verilindje
⇘	shigjetë dyshe juglindje
⇙	shigjetë dyshe jugperëndim
⇚	shigjetë treshe majtas
⇛	shigjetë treshe djathtas
⇜	shigjetë e përdredhur majtas
