‾	överstreck
_	understreck, understrykning, understrykningstecken
-	avstavningstecken, bindestreck, bindestreck-minustecken, minustecken
‐	avstavningstecken, bindestreck
–	streck, tankstreck
—	långt, långt tankstreck, tankstreck
―	bindestreck, horisontellt streck, streck, tankstreck
・	halvhög punkt, katakana, katakana – mellanpunkt, mittpunkt, punkter
,	komma, kommatecken
،	arabiska, arabiskt kommatecken, faasila, kommatecken
、	ideografiskt, ideografiskt kommatecken, kommatecken
;	semikolon
؛	arabiska, arabiskt semikolon, semikolon
:	kolon
!	skiljetecken, utrop, utropstecken
¡	förundringstecken, inverterat, inverterat utropstecken, utrop, utropstecken
?	fråga, frågetecken
¿	fråga, frågetecken, inverterat, inverterat frågetecken
؟	arabiska, arabiskt frågetecken, fråga, frågetecken
‽	interrobang
.	punkt, slutpunkt
…	ellips, tre punkter, uteslutningstecken
。	ideografisk, ideografisk punkt, punkt, slutpunkt
·	halvhög punkt, mellanpunkt, mittpunkt, punkt, punkt i mitten
'	apostrof, citattecken, enkelt citattecken, skrivmaskinsapostrof
‘	apostrof, citattecken, enkelt citattecken, typoghrafiskt citattecken, vänster apostrof, vänsterställd apostrof
’	apostrof, citattecken, enkelt citattecken, höger apostrof, högerställd apostrof, typografiskt citattecken
‚	apostrof, citattecken, nedsänkt citattecken, nedsänkt högerställd apostrof
“	citat, citattecken, dubbelt citattecken, inledande citattecken, typografiskt citattecken
”	avslutande citattecken, citat, citattecken, dubbelt citattecken, typografiskt citattecken
„	citat, citattecken, dubbelt citattecken, nedre avslutande citattecken, nedre citattecken, typografiskt citattecken
«	citationstecken, dubbla vinkelcitationstecken, gåsögon vänster, vinkel, vänster
»	citationstecken, dubbla vinkelcitationstecken, gåsögon höger, höger, vinkel
)	avslutande parentes, klammer, parentes, rundparentes
[	hakparentes, inledande hakparentes, klammer, parentes
]	avslutande hakparentes, hakparentes, klammer, parentes
{	ackolad, inledande klammerparentes, klammerparentes
}	ackolad, avslutande klammerparentes, klammerparentes
〈	chevron, inledande vinkelparentes, klammer, vinkelparentes
〉	avslutande vinkelparentes, chevron, klammer, vinkelparentes
《	dubbel inledande vinkelparentes, dubbel vinkelparantes, inledande dubbel vinkelparentes, klammer
》	avslutande dubbel vinkelparentes, dubbel avslutande vinkelparentes, dubbel vinkelparentes, klammer
「	halv hörnparentes, inledande halv hörnparentes, parentestecken
」	avslutande halv hörnparentes, halv hörparentes, parentestecken
『	inledande ofylld halv hörnparentes, ofyllt halvt hörnparentestecken, parentestecken
』	avslutande ofylld halv hörnparentes, ofylld halv hörnparentes, parentestecken
【	inledande svart konkavt parentestecken, konkavt parentestecken, lentikulärt parentestecken, parentestecken
】	avslutande svart konkavt parentestecken, konkavt parentestecken, lentikulärt parentestecken, parentestecken
〔	inledande sköldpaddsskalformat parentestecken, inledande sköldpaddsskalsparentes, parentestecken, skalformat parentestecken, sköldpaddsskalformat parentestecken
〕	avslutande sköldpaddsskalformat parentestecken, avslutande sköldpaddsskalparentes, parentestecken, skalformat parentestecken, sköldpaddsskalformat parentestecken
〖	inledande ofyllt konkavt parentestecken, ofyllt konkavt parentestecken, ofyllt lentikulärt parentestecken, parentestecken
〗	avslutande ofyllt konkavt parentestecken, ofyllt konkavt parentestecken, ofyllt lentikulärt parentestecken, parentestecken
§	avsnitt, del, paragraf, paragraftecken
¶	alinea, paragraf, paragraftecken, stycke
@	@-tecken, at-tecken, snabel-a
*️	asterisk, jokertecken, stjärna
/	eller, sned, snedstreck, streck
\	bakstreck, bakåt snedstreck, omvänt snedstreck
&	et-tecken, och, och-tecken
#️	fyrkant, fyrtagg, hash, hash-tagg, hashtecken, nummer, nummertecken
%	hundradel, per hundra, procent
‰	per tusen, promille, tusendel
†	kors, korstecken, obelisk
‡	dubbel, dubbelkors, dubbelkorstecken, obelus
•	listpunkt, punkt, punktlista
‧	avstavningspunkt, bindestreck, punkt, streck
′	prim, primtecken
″	dubbelprim, dubbelprimtecken, primtecken
‴	prim, trippelprim, trippelprimtecken, triss
‸	insättningstecken
※	källhänvisning, referenstecken
⁂	asterism
`	accent, accenttecken, grav, grav accent
´	accent, accenttecken, akut, akut accent
^	accent, accenttecken, cirkumflex, hatt
¨	trema, två punkter, umlaut
