‾	ขีดบน
_	ขีดกลาง, ขีดล่าง, ขีดเส้นใต้, สัญประกาศ, เส้น, เส้นใต้
-	ขีดกลาง, ยัติภังค์, ยัติภังค์-เครื่องหมายลบ, เครื่องหมายลบ
‐	ยัติภังค์, เส้นประ
–	ขีดกลาง, ขีดสั้น, เส้นประสั้น
—	ขีดกลาง, ขีดยาว, เส้นประยาว
―	ขีดกลาง, บาร์, เส้น, เส้นแนวนอน
・	คาตะคานะ, จุด, จุดกลาง, จุดกลางของคาตะคานะ, จุดตรงกลาง
,	จุลภาค
،	จุลภาค, จุลภาคแบบอารบิก, อารบิก
、	จุลภาค, อักษรภาพ, อักษรภาพจุลภาค
;	อัฒภาค
؛	อัฒภาค, อัฒภาคแบบอารบิก, อารบิก
:	ทวิภาค
!	การอุทาน, ปัง, เครื่องหมายอัศเจรีย์
¡	กลับหัว, การอุทาน, ปัง, เครื่องหมายตกใจ, เครื่องหมายอัศเจรีย์, เครื่องหมายอัศเจรีย์กลับหัว
?	คำถาม, เครื่องหมายปรัศนี
¿	กลับหัว, คำถาม, เครื่องหมายปรัศนี, เครื่องหมายปรัศนีกลับหัว
؟	คำถาม, อารบิก, เครื่องหมายปรัศนี, เครื่องหมายปรัศนีแบบอารบิก
‽	อินเทอร์โรแบง
.	จุด, มหัพภาค, เครื่องหมายจุด
…	จุดหลายจุด, จุดไข่ปลา, เอลลิปซิส
。	จุด, มหัพภาค, อักษรภาพ, อักษรภาพมหัพภาค
·	กลาง, จุด, จุดกลาง, จุดตรงกลาง
'	อัญประกาศ, อัญประกาศเดี่ยว, อัญประกาศเดี่ยวแบบพิมพ์ดีด, เครื่องหมายคำพูดเดี่ยว
‘	อัญประกาศ, อัญประกาศอัจฉริยะ, อัญประกาศเดี่ยว, อัญประกาศเปิดเดี่ยว, เครื่องหมายคำพูดเดี่ยว
’	อัญประกาศ, อัญประกาศปิดเดี่ยว, อัญประกาศอัจฉริยะ, อัญประกาศเดี่ยว, เครื่องหมายคำพูดเดี่ยว
‚	อัญประกาศ, อัญประกาศปิดเดี่ยวล่าง, อัญประกาศเดี่ยว, อัญประกาศเดี่ยวล่าง
“	อัญประกาศ, อัญประกาศคู่, อัญประกาศอัจฉริยะ, เครื่องหมายคำพูด, เครื่องหมายอัญประกาศเปิด
”	อัญประกาศ, อัญประกาศคู่, อัญประกาศอัจฉริยะ, เครื่องหมายคำพูด, เครื่องหมายอัญประกาศปิด
„	อัญประกาศ, อัญประกาศคู่, อัญประกาศล่าง, อัญประกาศอัจฉริยะ, เครื่องหมายคำพูด, เครื่องหมายอัญประกาศปิดล่าง
