‾	ቪንኩለም, ኣብ ላዕሊ ሕንጻጽ, ኣብ ላዕሊ መስመር
_	መስመር, ታሕተዋይ መስመር, ታሕተዋይ ዳሽ, ዝተሰመረ, ዳሽ, ዳሽ ዝተገብረ
-	ሃይፈን-ዝጎደሎ, ህይፈን, ዝጎደለ, ዳሽ
‐	ሃይፈን, ዳሽ
–	አን, አን ዳሽ, ዳሽ
—	አም, አም ዳሽ, ዳሽ
―	መስመር, ሽራጥ, ዳሽ, ጎድናዊ ሽራጥ
・	ማእከላይ ዶት, ማእከላይ ዶት ናይ ካታካና, ካታካና, ውሽጣዊ ስርዓተ-ነጥቢ, ዶትስ
,	ኮማ
،	ናይ ዓረብ ኮማ, ኮማ, ዓረብ
、	ኣይድዮ-ግኦግራፊክ, ኣይድዮ-ግኦግራፊክ ኮማ, ኮማ
;	ነጥበ-ሰረዝ, ነጥበሰረዝ
؛	ነጥበ-ሰረዝ, ናይ ዓረብ, ናይ ዓረብ ነጥበ-ሰረዝ
:	ሰረዝ
!	ምልክት ስምዒት, ስምዒት, ስምዒት ነጥቢ, ባንግ
¡	ምልክት ስምዒት, ስምዒት, ስምዒት ነጥቢ, ባንግ, ግምጣል, ግምጣል ምልክት ስምዒት
?	ሕቶ, ምልክት ሕቶ
¿	ሕቶ, ምልክት ሕቶ, ግምጣል, ግምጣል ምልክት ሕቶ
؟	ሕቶ, ምልክት ሕቶ, ናይ ዓረብ ምልክት ሕቶ, ዓረብ
‽	ኢንተራባንግ, ኢንተሮባንግ
.	ኣርባዕተ ነጥቢ, ዶት, ጊዜ
…	ዶት, ግድፈተ-ቃላት, ግድፈት
。	ኣርባዕተ ነጥቢ, ኣይድዮ-ግኦግራፊክ, ኣይድዮ-ግኦግራፊክ ጊዜ, ጊዜ
·	ማእከላይ, ማእከላይ ዶት, ውሽጣዊ ስርዓተ-ነጥቢ, ዶት
'	ምጥቃስ, ናይ ጽሕፈት መኪና ኣፖስትሮፍ, ንጽል ምጥቃስ, ኣፖስትሮፍ
‘	ምጥቃስ, በሊሕ ምጥቃስ, ንጽል ምጥቃስ, ኣፖስትሮፍ, ጸጋማዊ ኣፖስትሮፍ
’	ምጥቃስ, ቅኑዕ ኣፖስትሮፍ, በሊሕ ምጥቃስ, ንጽል ምጥቃስ, ኣፖስትሮፍ
‚	ምጥቃስ, ትሑት ምጥቃስ, ትሑት ቅኑዕ ኣፖስትሮፍ, ኣፖስትሮፍ
“	ምጥቃስ, በሊሕ ምጥቃስ, ድርብ ምጥቃስ, ጸጋማይ ምልክት ጥቕሲ
