‾	hake, kohi, kohi-hake, ʻolunga
_	fakaʻilonga, hifo, kohi, kohi hifo
-	fakaʻilonga, haifine, haifine-kole, kohi, kole
‐	fakaʻilonga, haifine, kohi
–	fakaʻilonga, kohi, kohi nounou, nounou
—	fakaʻilonga, kohi, kohi lōloa, lōloa
―	fakalava, fakaʻilonga, kohi, kohi fakalava
・	fakasiapani, fakaʻilonga, loto, toti, toti ʻi loto fakasiapani
,	fakaʻilonga, koma
،	fakaʻalepea, fakaʻilonga, koma, koma fakaʻalepea
、	fakaʻilonga, fakaʻēsia, koma, koma fakaʻēsia
;	fakaʻilonga, semikoloni
؛	fakaʻalepea, fakaʻilonga, semikoloni, semikoloni fakaʻalepea
:	fakaʻilonga, koloni
!	fakaʻilonga, kalanga
¡	fakaʻilonga, fulihi, kalanga, kalanga fulihi
?	fakaʻilonga, fehuʻi
¿	fakaʻilonga, fehuʻi, fehuʻi fulihi, fulihi
؟	fakaʻalepea, fakaʻilonga, fehuʻi, fehuʻi fakaʻalepea
‽	fakaʻilonga, fehuʻi, fehuʻikalanga, kalanga
.	fakaʻilonga, piliote, toti
…	fakaʻilonga, tolu, toti, totitolu
。	fakaʻilonga, fakaʻēsia, toti, toti fakaʻēsia
·	fakaʻilonga, loto, toti, toti ʻi loto
'	fakaʻilonga, lea hiki, lea hiki hika
‘	fakaʻilonga, lea hiki, lea hiki hema
’	fakaʻilonga, lea hiki, lea hiki mataʻu
‚	fakaʻilonga, lea hiki, lea hiki mataʻu hifo
“	fakaʻilonga, lea hiki, lea hiki lōua hema, ua
”	fakaʻilonga, lea hiki, lea hiki lōua mataʻu, ua
„	fakaʻilonga, lea hiki, lea hiki lōua mataʻu hifo, ua
«	fakaʻilonga, lea hiki, lea hiki fakatouliki lōua hema, touliki, ua
»	fakaʻilonga, lea hiki, lea hiki fakatouliki lōua mataʻu, touliki, ua
)	fakaʻilonga, haʻi, haʻi tuku
[	fakaʻilonga, haʻi, haʻi tapafā toʻo, tapafā
]	fakaʻilonga, haʻi, haʻi tapafā tuku, tapafā
{	fakaʻilonga, haʻi, haʻi mingimingi toʻo, mingimingi
}	fakaʻilonga, haʻi, haʻi mingimingi tuku, mingimingi
〈	afeitui, fakaʻilonga, haʻi, haʻi afeitui toʻo
〉	afeitui, fakaʻilonga, haʻi, haʻi afeitui tuku
《	afeitui, afeitui lōua toʻo, fakaʻilonga, haʻi, haʻi afeitui lōua toʻo, ua
》	afeitui, fakaʻilonga, haʻi, haʻi afeitui lōua tuku, ua
「	fakaʻilonga, haʻi, haʻi tuliki toʻo, tuliki
」	fakaʻilonga, haʻi, haʻi tuliki tuku, tuliki
『	fakaʻilonga, fakaʻilonga haʻi ngeʻesi tuliki toʻo, haʻi, ngeʻesi, ngeʻesi haʻi tuliki toʻo, tuliki
』	fakaʻilonga, haʻi, ngeʻesi, ngeʻesi haʻi tuliki tuku, tuliki
【	fakaʻilonga, haʻi, haʻi sioʻata ʻesiafi toʻo, ngeʻesi haʻi sioʻata toʻo, sioʻata ʻesiafi
】	fakaʻilonga, haʻi, haʻi sioʻata ʻesiafi tuku, sioʻata ʻesiafi
〔	fakaʻilonga, haʻi, haʻi ʻuno toʻo, ʻuno
〕	fakaʻilonga, haʻi, haʻi ʻuno tuku, ʻuno
〖	fakaʻilonga, haʻi, ngeʻesi, ngeʻesi haʻi sioʻata ʻesiafi toʻo, sioʻata ʻesiafi
〗	fakaʻilonga, haʻi, ngeʻesi, ngeʻesi haʻi sioʻata ʻesiafi tuku, sioʻata ʻesiafi
§	fakaʻilonga, kupu
¶	fakaʻilonga, palakalafi
@	fakaʻilonga, hiku vilovilo
*️	fakafetuʻu, fakaʻilonga
/	fakaʻilonga, kohi, kohimuʻa, muʻa
\	fakaʻilonga, kohi, kohimui, mui
&	fakaʻilonga, mo, pea, pea-mo
#️	fakaʻilonga, fetāʻoaki
%	fakaʻilonga, peseti
‰	fakaʻilonga, pemila
†	fakaʻilonga, fakaʻilonga heletui, heletui
‡	fakaʻilonga, heletui, heletui lōua
•	fakaʻilonga, fakaʻilonga toti, pulukōkō
‧	fakaʻilonga, haifine, toti, toti fakahaifine
′	fakaʻilonga, fakaʻilonga tiki, tiki
″	fakaʻilonga, lōua, tiki, tiki lōua
‴	fakaʻilonga, lōtolu, tiki, tiki lōtolu
‸	fakaʻilonga, liʻaki
※	fakaʻilonga, tukuatu
⁂	fakaʻilonga, fetuʻu, ʻū fetuʻu
`	fakamamafa, fakamamafa kehe, kehe
´	fakamamafa, fakamamafa tonga, tonga
^	fakamamafa, fakamamafa tatā, hake, tatā
¨	fakamamafa, fakamamafa totiua, toti, ua
°	fakaʻilonga, tikili
℗	fakaʻilonga, mafai-pulusi, ongo, ongo mafai-pulusi
←	hema, ngahau, ngahau ki toʻohema, ngahau siʻi ki toʻohema
↚	hema, kohi, ngahau, ngahau ki toʻohema moe kohi
→	mataʻu, ngahau, ngahau ki toʻomataʻu, ngahau siʻi ki toʻomataʻu
↛	kohi, mataʻu, ngahau, ngahau ki toʻomataʻu moe kohi
↑	hake, ngahau, ngahau ki ʻolunga, ngahau siʻi ki ʻolunga, ʻolunga
↓	hifo, lalo, ngahau, ngahau ki lalo, ngahau siʻi ki lalo
↜	fafasi, hema, ngahau, ngahau ki toʻohema fafasi
↝	fafasi, mataʻu, ngahau, ngahau ki toʻomataʻu fafasi
↞	2, hema, ngahau, ngahau ʻuluua ki toʻohema, ua
↟	2, ngahau, ngahau ʻuluua ki ʻolunga, ua, ʻolunga
↠	2, mataʻu, ngahau, ngahau ʻuluua ki toʻomataʻu, ua
↡	2, lalo, ngahau, ngahau ʻuluua ki lalo, ua
↢	hema, hiku, ngahau, ngahau ki toʻohema moe hiku
↣	hiku, mataʻu, ngahau, ngahau ki toʻomataʻu moe hiku
↤	hema, ngahau, ngahau ki toʻohema meihe pā, pā
↥	ngahau, ngahau ki ʻolunga meihe pā, pā, ʻolunga
↦	mataʻu, ngahau, ngahau ki toʻomataʻu meihe pā, pā
↧	lalo, ngahau, ngahau ki lalo meihe pā, pā
↨	lalo, ngahau, ngahau ki ʻolunga mo lalo moe tuʻunga, tuʻunga, ʻolunga
↫	fakakahoa, hema, ngahau, ngahau ki toʻohema fakakahoa
↬	fakakahoa, mataʻu, ngahau, ngahau ki toʻomataʻu fakakahoa
↭	fafasi, hema, mataʻu, ngahau, ngahau ki toʻohema-mataʻu fafasi
↯	fepikopikoaki, lalo, ngahau, ngahau ki lalo fepikopikoaki
↰	afe, hema, ngahau, ngahau ki ʻolunga afe ki toʻohema, ʻolunga
↱	afe, mataʻu, ngahau, ngahau ki ʻolunga afe ki toʻomataʻu, ʻolunga
↲	afe, hema, lalo, ngahau, ngahau ki lalo afe ki toʻohema
↳	afe, lalo, mataʻu, ngahau, ngahau ki lalo afe ki toʻomataʻu
↴	lalo, mataʻu, ngahau, ngahau ki toʻomataʻu tafihu ki lalo, tafihu
↵	hema, lalo, ngahau, ngahau ki lalo tafihu ki toʻohema, tafihu
↶	hema, ngahau, ngahau vilovilo vaeuahake toʻohema, vaeuahake, vilovilo
↷	mataʻu, ngahau, ngahau vilovilo vaeuahake toʻomataʻu, vaeuahake, vilovilo
↸	hihifo, lōloa, ngahau, ngahau tokelauhihifo moe pā lōloa, pā, tokelau
↹	hema, mataʻu, ngahau, ngahau ki toʻohema ʻi olunga ʻoe toʻomataʻu moe pā, pā
↺	ava, hema, ngahau, ngahau ava vilovilo toʻohema, vilovilo
↻	ava, mataʻu, ngahau, ngahau ava vilovilo toʻomataʻu, vilovilo
↼	hema, taovelo, taovelo talahake ki toʻohema, ʻolunga
↽	hema, lalo, taovelo, taovelo talahifo ki toʻohema
↾	mataʻu, taovelo, taovelo talamataʻu ki ʻolunga, ʻolunga
↿	hema, taovelo, taovelo talahema ki ʻolunga, ʻolunga
⇀	mataʻu, taovelo, taovelo talahake ki toʻomataʻu, ʻolunga
⇁	lalo, mataʻu, taovelo, taovelo talahifo ki toʻomataʻu
⇂	lalo, mataʻu, taovelo, taovelo talamataʻu ki lalo
⇃	hema, lalo, taovelo, taovelo talahema ki lalo
⇄	2, hema, mataʻu, ngahau, ngahau ki toʻomataʻu ʻi olunga ʻoe toʻohema, ua
⇅	hake, hifo, lalo, ongo ngahau, ongo ngahau ki ʻolunga mo lalo, ʻolunga
⇆	hema, mataʻu, ongo ngahau, ongo ngahau ki toʻomataʻu mo toʻohema
⇇	2, fakahoa, hema, ngahau, ngahau fakahoa ki toʻohema, ua
⇈	2, fakahoa, ngahau, ngahau fakahoa ki ʻolunga, ua, ʻolunga
⇉	2, fakahoa, mataʻu, ngahau, ngahau fakahoa ki toʻomataʻu, ua
⇊	2, fakahoa, lalo, ngahau, ngahau fakahoa ki lalo, ua
⇋	2, hema, mataʻu, taovelo, taovelo ki toʻohema ʻi olunga ʻoe toʻomataʻu, ua
⇌	2, hema, mataʻu, taovelo, taovelo ki toʻomataʻu ʻi olunga ʻoe toʻohema, ua
⇐	2, hema, ngahau, ngahau lōua ki toʻohema, ua
