‾	вінкулум, риска згори
_	нижнє тире, підкреслення, символ підкреслення
-	дефіс, знак "мінус", мінус
‐	дефіс, риска
–	коротке, коротке тире, тире
—	довге, довге тире, тире
―	горизонтальна лінія, лінія, тире
・	внутрішньорядкова крапка, катакана, інтерпункт
,	кома
،	арабська кома, кома
、	кома, ідеографічна кома
;	крапка з комою, середник
؛	арабська крапка з комою, крапка з комою
:	двокрапка, дві крапки
!	знак оклику, оклик
¡	знак оклику, оклик, перевернутий, перевернутий знак оклику
?	запитання, знак питання, питання
¿	знак питання, перевернутий, перевернутий знак питання, питання
؟	арабський, арабський знак питання, знак питання, питання
‽	інтеробанг
.	крапка, точка
…	крапки, пропуск, три крапки
。	крапка, порожня крапка, ідеографічна, ідеографічна крапка
·	крапка, середня крапка, середній, інтерпункт
'	апостроф, лапки, одинарні лапки, прямий апостроф
‘	апостроф, лапки, лівий апостроф, одинарні лапки
’	апостроф, лапки, одинарні лапки, правий апостроф
‚	лапки, нижні лапки, нижні одинарні лапки, нижні праві лапки
“	лапки, ліві подвійні лапки, подвійні лапки
”	лапки, праві лапки, праві подвійні лапки
„	лапки, нижні лапки, нижні праві подвійні лапки, подвійні лапки
«	дужки, карет, кут, лапки, ліва шевронна лапка, ліво, шеврон
»	дужки, карет, кут, лапки, права шевронна лапка, право, шеврон
)	дужка, закривна, закривна дужка, кругла дужка
[	відкривна квадратна дужка, дужка, квадратна дужка
]	дужка, закривна, закривна квадратна дужка, квадратна дужка
{	відкривна, відкривна фігурна дужка, фігурна дужка
}	закривна, закривна фігурна дужка, фігурна дужка
〈	відкривна, відкривна кутова дужка, кутова дужка
〉	закривна дужка, закривна кутова дужка, кутова
《	відкривна, відкривна подвійна кутова дужка, кутова дужка, подвійна
》	закривна, закривна подвійна кутова дужка, подвійна кутова дужка
「	кутова дужка, ліва верхня, ліва верхня квадратна дужка
」	кутова дужка, права нижня, права нижня квадратна дужка
『	відкривна, відкривна квадратна верхня дужка з просвітом, дужка з просвітом, квадратна дужка
』	дужка з просвітом, закривна, закривна квадратна нижня дужка з просвітом, квадратна дужка
【	відкривна дужка, відкривна лінзоподібна дужка, лінза, лінзоподібна
】	закривна дужка, закривна лінзоподібна дужка, лінза, лінзоподібна
〔	відкривна, відкривна «черепахова» дужка, відкривна гексагонова дужка, гексагонова дужка
〕	відкривна, гексагонова дужка, закривна «черепахова» дужка, закривна гексагонова дужка
〖	відкривна дужка, відкривна порожня лінзоподібна дужка, лінза, лінзоподібна
〗	закривна дужка, закривна порожня лінзоподібна дужка, лінза, лінзоподібна
§	абзац, знак розділу, розділ, частина
¶	абзац, знак абзацу, символ абзацу, символ кінця абзацу
@	вухо, знак ет, знак пошти, комерційне ет, равлик, собака
*️	астериск, знак підстановки, зірочка
/	скісна риска, слеш
\	бекслеш, обернена скісна риска
&	амперсанд, та, і
#️	дієз, октоторп, решітка, символ решітки, хештег, шарп, ґратка
%	відсоток, процент
‰	проміле, промілле, проміль
†	друкарський знак, друкарський хрестик, обелюс
‡	друкарський знак, друкарський хрестик, обелюс, подвійний, подвійний друкарський хрестик
•	крапка, маркер, маркованний список
‧	дефіс, крапка, розділова, розділова крапка
′	штрих
″	подвійний штрих, подвійні лапки
‴	потрійний штрих, потрійні лапки
‸	дашок, каретка
※	опорний символ, розпізнавальний знак
⁂	зірки, потрійний, три, три зірочки
`	гравіс, зворотний апостроф
´	акут, акутовий наголос
