‾	apọju
_	abẹ́dáàṣì, dàáṣì, dáàṣì, ila ìtọ́ka, ìlà, ìlà ìsàlẹ̀
-	daaṣì, háífìnì, háífìnì-ìyọkúrò, ìyọkúrò
‐	dáàsì, háífìnì
–	dáàṣi, dáàṣi ti, en
—	dáàṣi, em, em dáàsì
―	àmi oke sí sàlẹ́, àmi ìdínà, àmì oke sí sàlẹ̀, ìlà
・	arin katakana, dọ́tì à, dọ́tì àárin, dọ́tì àárín katakana, katakana, súnmọ́, àwọn dọ́ọ̀tì
,	kọmá
،	arábíìkì, kọmá, kọmá arábíìkì
、	ami aworan, komá, kọmá aláwòrán
;	kolọ́ọ̀nù, kolọ́ọ̀nù díe, sẹ̀míkolọ́ọ̀nù
؛	arabíìkì, arabíìkì kolọ́ọ̀nù díẹ̀, kolọ́ọ̀nù díẹ̀
:	kolọ́ọ̀nù
!	ami isele, isele
¡	ami isele inu, gbankogbì, inu, isele
?	ami ibeere, ibeere
¿	ami ibeere, ami ibeere inu, inu
؟	ami ibeere, ami ibeere arabíìkì, ibeere
‽	interrobang
.	dọ́tì, àmì ìparí, ìdádúró
…	alafo, allafo, dọ́ọ́tì, àlàfo
。	àmì ìparí, àmì ìparí ìsàpejúwe, ìdádúró, ìsàpejúwe
·	dọ́ọ̀ti, dọ́ọ̀ti àárín, láàrín, súnmọ́
'	aposítofù, aposítofù itewé, aposítofù ìtewé, koti, koti kan
‘	aposítofù, aposítofù òsì, àmi aposítofù, àmi ìroyin, àmi ìroyìn tó já, àmi ìròyin kan
’	ami ìròyìn, aposítofù, aposítofù ọ̀tún, aposítofù ọ́tun, àmi ìroyìn tó, àmi ìròyin kan
‚	apositofú otùn kékeré, aposítofù, aposítofù ọ̀tún kékeré, àmi ìròyin kérere, àmi ìròyìn
“	ami koti osi, koti, koti tojafafa
”	ami koti otun, koti, koti meji
„	ami koti, ami koti osi kekere, koti, koti meji
«	gulimetì osi, gulimetì òsì, koti, osi
»	búraketi, gulimetì otun, koti, otun
)	búraketi, paremtesì sunmo, pareni, parentesi sunmo
[	búraketi, búraketi onihamerin, kurose, sikuwe buraketi
]	búraketi, kurose, sikuwe buraketi, sikuwe buraketi inu
{	buraketi lilo, búraketi, búrákẹ́tì ìta lílọ́, sikuwe buraketi ita
}	búraketi, búraketi inu, kurose, sikuwe buraketi
〈	búraketi, búraketi dámodì, búraketi itokasi, búraketi origun, búrákẹ́tì sísí orígun, origun ita, sefuroni
〉	búraketi, búraketi dámodì, búraketi itokasi, búraketi origun, búraketi origun inu, origun ita, sefuroni
《	búraketi, búraketi dámodì, búraketi itokasi, búraketi origun, búrákẹ́tì sísí orígun méjì, sefuroni
